Name: “Table 1 of 1 on page 36 of 43”,Name: “Table 1 of 1 on page 36 of 43”,Name: “Table 1 of 1 on page 36 of 43”,Name: “Table 1 of 1 on page 36 of 43”,Name: “Table 1 of 1 on page 36 of 43”,Name: “Table 1 of 1 on page 36 of 43”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,
Table 23—Roundwood timber products output by product and,Table 23—Roundwood timber products output by product and,Table 23—Roundwood timber products output by product and,Table 23—Roundwood timber products output by product and,Table 23—Roundwood timber products output by product and,
"species group, Southern Mountains of Virginia, 1992 and 1995","species group, Southern Mountains of Virginia, 1992 and 1995","species group, Southern Mountains of Virginia, 1992 and 1995","species group, Southern Mountains of Virginia, 1992 and 1995","species group, Southern Mountains of Virginia, 1992 and 1995",
Product and,Product and,Year,,,Percent
species group,species group,1992,1995,Change,change
,,Thousand cubic feet,Thousand cubic feet,,
Saw logs,,,,,
Softwood,Softwood,"7,249","8,698","1,449",20.0
Hardwood,Hardwood,"21,621","22,051",430,2.0
,Total,"28,870","30,749","1,879",6.5
Veneer logs,Veneer logs,,,,
Softwood,Softwood,0,0,0,--
Hardwood,Hardwood,"2,366","1,591",-775,-32.8
,Total,"2,366","1,591",-775,-32.8
,a,,,,
Pulpwood,,,,,
Softwood,Softwood,51,555,504,988.2
Hardwood,Hardwood,"7,285","8,200",915,12.6
,Total,"7,336","8,755","1,419",19.3
Composite panels,Composite panels,,,,
Softwood,Softwood,441,797,356,80.7
Hardwood,Hardwood,"1,646","4,548","2,902",176.3
,Total,"2,087","5,345","3,258",156.1
Other industrial,Other industrial,,,,
Softwood,Softwood,0,0,0,--
Hardwood,Hardwood,0,0,0,--
,Total,0,0,0,--
All industrial,All industrial,,,,
Softwood,Softwood,"7,741","10,050","2,309",29.8
Hardwood,Hardwood,"32,918","36,390","3,472",10.5
,Total,"40,659","46,440","5,781",14.2
-- = negligible.,-- = negligible.,,,,
,a,,,,
Includes roundwood that was delivered to nonpulpmills and then chipped and sold,Includes roundwood that was delivered to nonpulpmills and then chipped and sold,Includes roundwood that was delivered to nonpulpmills and then chipped and sold,Includes roundwood that was delivered to nonpulpmills and then chipped and sold,Includes roundwood that was delivered to nonpulpmills and then chipped and sold,
"to pulpmills (412,000 cubic feet in 1992 and 73,000 cubic feet in 1995).","to pulpmills (412,000 cubic feet in 1992 and 73,000 cubic feet in 1995).","to pulpmills (412,000 cubic feet in 1992 and 73,000 cubic feet in 1995).","to pulpmills (412,000 cubic feet in 1992 and 73,000 cubic feet in 1995).","to pulpmills (412,000 cubic feet in 1992 and 73,000 cubic feet in 1995).",
,,32,32,,
