Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”,Name: “Table 1 of 1 on page 26 of 43”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,
"Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,","Table 13—Primary mill residue volume by roundwood type, species group, and residue type,"
"Virginia, 1995",,,,,,
,,,,Residue type,Residue type,
Roundwood type,,All,,,,
and species group,and species group,types,Bark,Coarse,Sawdust,Shavings
,,,,Thousand cubic feet,,
Saw logs,,,,,,
,Softwood,"56,796","6,652","26,365","17,577","6,202"
,Hardwood,"72,071","12,504","34,908","24,193",466
,Total,"128,867","19,156","61,273","41,770","6,668"
Veneer logs,,,,,,
,Softwood,"9,345","1,255","6,010","2,080",0
,Hardwood,830,241,389,200,0
,Total,"10,175","1,496","6,399","2,280",0
Pulpwood,,,,,,
,Softwood,"10,799","10,799",0,0,0
,Hardwood,"13,325","13,325",0,0,0
,Total,"24,124","24,124",0,0,0
Composite panels,Composite panels,,,,,
,Softwood,"1,970","1,970",0,0,0
,Hardwood,"3,400","3,400",0,0,0
,Total,"5,370","5,370",0,0,0
,a,,,,,
Other industrial,,,,,,
,Softwood,"1,482","1,243",239,0,0
,Hardwood,"1,498",373,823,302,0
,Total,"2,980","1,616","1,062",302,0
Total,,,,,,
,Softwood,"80,392","21,919","32,614","19,657","6,202"
,Hardwood,"91,124","29,843","36,120","24,695",466
,Total,"171,516","51,762","68,734","44,352","6,668"
,a,,,,,
"Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.","Includes poles, pilings, posts, and other industrial products.",,,
,,,22,,,
