Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”,Name: “Table 1 of 1 on page 19 of 43”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,
"Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995","Table 3—Number of primary wood-using plants by industry, Virginia, 1976-1995",
,,,,,Year,,,,
Industry,1976,1978,1980,1984,,1987,1989,1992,1995
Sawmills,451,324,392,419,419,355,323,276,254
Veneer or plywood mills,10,12,12,12,12,10,10,9,8
Pulpmills,9,8,9,9,9,9,9,9,9
Composite panel mills,0,0,0,0,0,1,3,3,3
Other mills,15,18,24,22,22,19,24,14,15
All plants,485,362,437,462,462,394,369,311,289
"Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995","Table 4—Roundwood receipts by sawmill size, Virginia, 1992 and 1995",,
,,1992,,,,,1995,,
Sawmill,Number,Thousand,Percent,Percent,Number,Number,Thousand,,Percent
size classa,of mills,board feet,of volume,of volume,of mills,of mills,board feet,of volume,of volume
Million board feet,,,,,,,,,
"
    ",80,"24,810",,2,,64,"22,357",,2
1.0 - 4.99,113,"313,484",,26,106,106,"295,647",,23
5.0 - 9.99,60,"413,071",,34,,57,"393,473",,31
> 10,23,"468,820",,38,,27,"565,493",,44
Total,276,"1,220,185",,100,254,254,"1,276,970",,100
a,,,,,,,,,
Based on volume received as opposed to actual capacity.,Based on volume received as opposed to actual capacity.,Based on volume received as opposed to actual capacity.,Based on volume received as opposed to actual capacity.,,,,,,
,,,15,,,,,,
