Name: “Table 1 of 1 on page 18 of 43”,Name: “Table 1 of 1 on page 18 of 43”,Name: “Table 1 of 1 on page 18 of 43”,Name: “Table 1 of 1 on page 18 of 43”,Name: “Table 1 of 1 on page 18 of 43”,Name: “Table 1 of 1 on page 18 of 43”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,
"Table 2—Roundwood receipts by product and species group,","Table 2—Roundwood receipts by product and species group,","Table 2—Roundwood receipts by product and species group,","Table 2—Roundwood receipts by product and species group,","Table 2—Roundwood receipts by product and species group,",
"Virginia, 1992 and 1995","Virginia, 1992 and 1995",,,,
Product and,Product and,Year,,,Percent
species group,species group,1992,1995,Change,change
,,Thousand cubic feet,Thousand cubic feet,,
Saw logs,,,,,
Softwood,Softwood,"92,844","99,785","6,941",7.5
Hardwood,Hardwood,"117,042","119,993","2,951",2.5
,Total,"209,886","219,778","9,892",4.7
Veneer logs,Veneer logs,,,,
Softwood,Softwood,"16,100","16,567",467,2.9
Hardwood,Hardwood,"3,011","2,260",-751,-24.9
,Total,"19,111","18,827",-284,-1.5
,a,,,,
Pulpwood,,,,,
Softwood,Softwood,"98,198","106,437","8,239",8.4
Hardwood,Hardwood,"110,146","107,753","-2,393",-2.2
,Total,"208,344","214,190","5,846",2.8
Composite panels,Composite panels,,,,
Softwood,Softwood,"9,024","12,274","3,250",36.0
Hardwood,Hardwood,"15,405","15,139",-266,-1.7
,Total,"24,429","27,413","2,984",12.2
Other industrial,Other industrial,,,,
Softwood,Softwood,"3,814","1,851","-1,963",-51.5
Hardwood,Hardwood,"4,253","2,498","-1,755",-41.3
,Total,"8,067","4,349","-3,718",-46.1
Total output,Total output,,,,
Softwood,Softwood,"219,980","236,914","16,934",7.7
Hardwood,Hardwood,"249,857","247,643","-2,214",-0.9
,Total,"469,837","484,557","14,720",3.1
,a,,,,
Includes roundwood that was delivered to nonpulpmills and then chipped and sold to,Includes roundwood that was delivered to nonpulpmills and then chipped and sold to,Includes roundwood that was delivered to nonpulpmills and then chipped and sold to,Includes roundwood that was delivered to nonpulpmills and then chipped and sold to,Includes roundwood that was delivered to nonpulpmills and then chipped and sold to,
"pulpmills (11,201,000 cubic feet in 1992 and 4,629,000 cubic feet in 1995).","pulpmills (11,201,000 cubic feet in 1992 and 4,629,000 cubic feet in 1995).","pulpmills (11,201,000 cubic feet in 1992 and 4,629,000 cubic feet in 1995).","pulpmills (11,201,000 cubic feet in 1992 and 4,629,000 cubic feet in 1995).","pulpmills (11,201,000 cubic feet in 1992 and 4,629,000 cubic feet in 1995).",
,,14,,,
