Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”,Name: “Table 1 of 1 on page 56 of 64”
Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54,Table: 54
,,,,,,,,,,,,,,,,,,,,,
Table,43--Average,43--Average,43--Average,annual,removals,of,growing,stock,on,"timberland,","timberland,",by,species,and,diameter,diameter,"class,",Coastal,Plain,Plain,
of,"Virginia,","Virginia,",1985-1990,1985-1990,,,,,,,,,,,,,,,,,
,,,,,,,,,,Diameter,Diameter,class,(inches,(inches,at,breast,height),height),,,
,,,,,All,,,,,,,,,,,,,,,,
,,Species,Species,,classes,classes,5.0-,7.0-,,9.0-,ll.O-,,13.0-,15.0-,15.0-,17.0-,19.0-,19.0-,21.0-,29.0,and
,,,,,,,6.9,8.9,,10.9,12.9,,14.9,16.9,16.9,18.9,20.9,20.9,28.9,larger,larger
,,,,,,,,,,,Thousand,Thousand,cubic,feet,feet,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,,,,,,,
Yellow,Yellow,pines,,,"115,184","115,184","10,863","20,599",,"17,406","19,299",,"17,658","12,979","12,979","8,712","4,088","4,088","3,451",129,129
Eastern,Eastern,white,,pine,__,__,__,_-,,__,__,,__,,--,--,,_-,-_,_-,_-
Spruce,Spruce,and,fir,,-_,-_,--,_-,,--,-_,,__,,--,__,,__,_-,--,--
Cypress,Cypress,,,,85,85,--,85,,__,__,,__,,-_,__,,-_,--,_-,_-
Other,Other,eastern,,softwoods,76,76,76,-_,,__,__,,__,,__,__,__,__,_-,__,__
,Total,softwoods,softwoods,softwoods,"115,345","115,345","10,939","20,684","17,406","17,406","19,299","17,658","17,658","12,979","12,979","8,712","4,088","4,088","3,451",129,129
Hardwood,Hardwood,,,,,,,,,,,,,,,,,,,,
Select,Select,white,and,and,,,,,,,,,,,,,,,,,
,red,oaks,,,"29,484","29,484","1,916","2,885",,"3,582","3,430",,"3,853","3,562","3,562","3,698","2,716","2,716","3,090",752,752
Other,Other,white,and,,,,,,,,,,,,,,,,,,
,red,oaks,,,"24,089","24,089","2,114","2,747",,"1,971","2,938",,"2,483","3,208","3,208","2,917","2,247","2,247","2,870",594,594
Hickory,Hickory,,,,"4,386","4,386",198,545,,786,695,,645,108,108,512,246,246,651,--,--
Yellow,Yellow,birch,,,--,--,__,_-,,_-,--,,__,,__,__,,__,-_,-_,-_
Hard,maple,maple,,,148,148,--,__,,--,-_,,148,,_-,-_,,__,^-,__,__
Sweetgum,Sweetgum,Sweetgum,,,"23,863","23,863","2,202","3,074",,"4,412","3,841",,"2,727","2,559","2,559","1,885","1,530","1,530","1,500",133,133
"Ash,","walnut,","walnut,",and,and,,,,,,,,,,,,,,,,,
,black,cherry,cherry,,"1,228","1,228",__,166,,166,196,,--,,83,293,204,204,120,--,--
Yellow-poplar,Yellow-poplar,Yellow-poplar,,,"22,123","22,123",994,"1,232",,"2,041","2,410",,"3,448","4,188","4,188","2,028","1,668","1,668","3,606",508,508
Tupelo,Tupelo,and,blackgum,blackgum,"4,945","4,945",165,168,,769,"1,103",,"1,256",788,788,539,157,157,__,--,--
Bay,and,magnolia,magnolia,magnolia,_-,_-,-_,--,,--,-_,,__,,_-,__,,__,_-,__,__
Other,Other,eastern,,hardwoods,"14,983","14,983","1,819",769,,"1,573","1,906",,"1,580","1,863","1,863","1,489","1,588","1,588","1,771",625,625
,Total,hardwoods,hardwoods,hardwoods,"125,249","125,249","9,408","11,586","15,300","15,300","16,519",,"16,140","16,359","16,359","13,361","10,356","10,356","13,608","2,612","2,612"
All,species,species,,,"240,594","240,594","20,347","32,270","32,706","32,706","35,818",,"33,798","29,338","29,338","22,073","14,444","14,444","17,059","2,741","2,741"
