Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”,Name: “Table 1 of 1 on page 23 of 64”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,,,,,,,,,
Tab le,3 - - A r e a,3 - - A r e a,3 - - A r e a,of,"ti m b e r lan d ,",b y,cou n ty,a n d,fore s t- ty p e,"group,",Coastal Pla i n,o f,"Vi r g i n i a ,",1 9 9 1,,,,
,,,,,,,,,,,,Fore s t- ty p e,Fore s t- ty p e,group,,,,
,Cou n ty,Cou n ty,Cou n ty,,A ll ty p e,,,,,,,,,,,,,
,,,,,groups,,W h i te,pine -,Spruce -,Lon gle af-,Lon gle af-,Loblolly-,Loblolly-,Oak -,Oak -,Oak -gum -,Elm -ash -,M aple - b e e ch -
,,,,,,,h emlock,h emlock,fi r,s la s h,s la s h,s h o r tle,af,pine,h i ck ory,cy p r e s s,cotton w ood,b i r ch
,,,,,,,,,,,,Acre s,Acre s,,,,,
Accom ack,Accom ack,,,,"94,507",,_-,_-,_-,,,"45,037","45,037","24,617","16,134","8,719",,
Brunsw ick,Brunsw ick,Brunsw ick,,,"290,950",,__,__,-_,,__,"131,809","131,809","45,9 68","9 7,459","5,238","10,476",
Caroline,Caroline,,,,"261,702",,--,--,-_,,--,"9 4 , 9 44","9 4 , 9 44","3 3 , 9 76","113,672","10,561","8,549",_-
Ch arle s,Ch arle s,City,City,,"84,737",,-,-,_-,,-_,"30,710","30,710","2 1 , 9 42","24,034","8,051",_-,-_
Ch e s ape ak e,Ch e s ape ak e,Ch e s ape ak e,Ch e s ape ak e,,"5 9 ,9 74",,--,--,_-,,--,"13,205","13,205","15,9 9 5","14,161","16,613",,-_
Ch e s te r fi e ld,Ch e s te r fi e ld,Ch e s te r fi e ld,Ch e s te r fi e ld,,"187,487",,--,--,_-,,--,"61,234","61,234","35,436","83,9 9 0","6,827",,^-
Dinw iddie,Dinw iddie,Dinw iddie,,,"244,049",,__,__,--,,-_,"86,500","86,500","6 9 ,487","84,130","3,9 32",_-,_-
Essex,,,,,"9 8,013",,--,--,-_,,-_,"34,230","34,230","17,117","40,012","3,519","3,135",--
Glou ce s te r,Glou ce s te r,Glou ce s te r,Glou ce s te r,,"9 4,613",,-,-,__,,_-,"31,888","31,888","5,081","50,022","7,622",-_,_-
Gre e n s vi,Gre e n s vi,1,le,,"135,286",,__,__,--,,--,"30,469","30,469","16,255","48,9 29","25,642","13,9 9 1",_-
H am pton,H am pton,,,,"4,342",,-_,-_,__,,__,- -,- -,- -,374,"3,9 68",- -,_-
H an ove r,H an ove r,,,,"178,181",,--,--,_-,,,"58,19 1","58,19 1","34,620","60,765","23,080","1,525",--
H enrico,H enrico,,,,"59 ,429",,_-,_-,-_,,-_,"11,59 2","11,59 2","11,240","3 0 , 9 77","5,620",- -,--
Is le,of,W igh t,W igh t,,"114,161",,-_,-_,--,,-_,"21,685","21,685","31,09 2","45,773","12,675","2,9 36",
