Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”,Name: “Table 1 of 1 on page 31 of 64”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,,
Table,ll--Area,ll--Area,of,"timberland,","timberland,",by,ownership,ownership,and,stocking,classes,of,growing-stock,growing-stock,"trees,"
Coastal,Plain,Plain,of,"Virginia,",,1991,,,,,,,,,
,,,,,,,,,,Stocking,Stocking,class,(percentI,(percentI,
,Ownership,Ownership,class,class,,All,,,,,,,,,
,,,,,classes,classes,,,,,,,,,
,,,,,,,,>130,,100-130,,60-99,,16.7-59,~16.7
,,,,,,,,,,,Acres,,,,
National,forest,forest,forest,,,__,__,--,,_-,,,__,-_,__
Other,public,public,,,,"146,753","146,753","19,939",,"55,436",,"55,512","55,512","12,056","3,810"
Forest,industry,industry,industry,,,"750,354","750,354","76,666",,"399,264",,"210,570","210,570","39,474","24,380"
Forest,industry-leased,industry-leased,industry-leased,industry-leased,,__,__,--,,--,,,__,--,__
Other,private,private,,,"2,805,159","2,805,159","2,805,159","217,073",,"1,211,719","1,116,453","1,116,453","1,116,453","238,004","21,910"
All,ownerships,ownerships,ownerships,,"3,702,266","3,702,266","3,702,266","313,678",,"1,666,419","1,382,535","1,382,535","1,382,535","289,534","50,100"
aSee,stocking,stocking,standards,standards,on,page12.,page12.,,,,,,,,
Table,12--Area,12--Area,of,"timberland,","timberland,",by,forest,type,and,stand-size,stand-size,"class,",,,
Coastal,Plain,Plain,of,"Virginia,",,1991,,,,,,,,,
,,,,,,,,,Stand-size,class,class,,,,
,,,,,,All,,,,,,,,Nonstocked,
,Forest,type,type,,,,,,,,,,,,
,,,,,stands,stands,,,,,,Sapling-,Sapling-,areas,
,,,,,,,,Sawtimber,Sawtimber,Poletimber,Poletimber,,,,
,,,,,,,,,,,,seedling,seedling,,
,,,,,,,,,,Acres,Acres,,,,
Softwood,,types,types,,,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,pine-hemlock,,,__,,,,__,,,,
Spruce-fir,Spruce-fir,Spruce-fir,,,,,__,,,,-_,,,,
Longleaf,Longleaf,pine,pine,,,,-_,,,,_-,,,,
Slash,pine,pine,,,,,,,,,-_,,,,
Loblolly,Loblolly,pine,pine,,"1,259,562","1,259,562","1,259,562","417,124","417,124","460,300","460,300","371,595","371,595","10,543",
Shortleaf,Shortleaf,pine,pine,,,"2,810","2,810",,__,"2,810","2,810",,__,_-,
Virginia,Virginia,pine,pine,,,"68,167","68,167","29,023","29,023","30,592","30,592",,"8,552",--,
Sand,pine,,,,,,__,,--,,,,--,__,
Eastern,Eastern,redcedar,redcedar,redcedar,,,--,,_-,,,,--,__,
Pond,pine,,,,,"1,753","1,753","1,753","1,753",,,,-_,--,
Spruce,,pine,,,,,--,,__,,,,--,__,
Pitch,pine,pine,,,,,,,_-,,,,__,_-,
Table,Mountain,Mountain,Mountain,pine,,,,,-_,,,,__,-_,
,Total,,,,"1,332,292","1,332,292","1,332,292","447,900","447,900","493,702","493,702","380,147","380,147","10,543",
Hardwood,,types,types,,,,,,,,,,,,
Oak-pine,Oak-pine,,,,,"623,638","623,638","254,544","254,544","158,816","158,816","205,043","205,043","5,235",
Oak-hickory,Oak-hickory,Oak-hickory,,,"1,369,786","1,369,786","1,369,786","677,856","677,856","358,621","358,621","317,143","317,143","16,166",
Chestnut,Chestnut,oak,oak,,,"10,586","10,586","7,945","7,945","2,641","2,641",,__,--,
Southern,Southern,scrub,scrub,oak,,,--,,--,,_-,,-_,--,
Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,,"305,075","305,075","161,476","161,476","83,329","83,329","54,678","54,678","5,592",
Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,,"60,889","60,889","34,346","34,346","6,303","6,303","20,240","20,240",__,
Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,,,__,,-_,,-_,,--,-_,
,Total,,,,"2,369,974","2,369,974","2,369,974","1,136,167","1,136,167","609,710","609,710","597,104","597,104","26,993",
All,types,,,,"3,702,266","3,702,266","3,702,266","1,584,067","1,584,067","1,103,412","1,103,412","977,251","977,251","37,536",
,,,,,,,,,,,,,,,23
