Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”,Name: “Table 1 of 1 on page 30 of 64”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,
Unit,Tables,,,,,,,,,,,,
Table,lo--Area,of,"timberland,","timberland,",by,forest,type,and,ownership,"class,",,,
Coastal,Plain,of,"Virginia,",1991,1991,,,,,,,,
,,,,,,,,,,Ownership,class,class,
,Forest,type,,All,,,,,,,,Forest,
,,,,ownerships,ownerships,National,National,Other,Other,Forest,,,Other
,,,,,,,,,,,,industry-,
,,,,,,forest,forest,public,public,industry,,,private
,,,,,,,,,,Acres,,,
Softwood,,types,,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,,--,,__,,__,,__,__,
Spruce-fir,Spruce-fir,,,,_-,,_-,,_-,,__,-_,
Longleaf,Longleaf,pine,,,--,,_-,,__,,--,_-,__
Slash,pine,,,,,,_-,,-_,,_-,__,
Loblolly,Loblolly,pine,,"1,259,562","1,259,562",,__,"58,497","58,497",,"433,166",--,"767,899"
Shortleaf,Shortleaf,pine,,"2,810","2,810",,,,,,,,"2,810"
Virginia,Virginia,pine,,"68,167","68,167",,__,,"7,113",,"16,863",__,"44,191"
Sand,pine,,,,__,,,,,,,,
Eastern,Eastern,redcedar,redcedar,,__,,__,,_-,,_-,__,
Pond,pine,,,"1,753","1,753",,_-,,--,,_-,__,"1,753"
Spruce,,pine,,,__,,__,,_-,,_-,__,_-
Pitch,pine,,,,,,__,,-_,,--,__,__
Table,Mountain,Mountain,pine,,,,_-,,__,,__,__,-_
,Total,,,"1,332,292","1,332,292",,__,"65,610","65,610",,"450,029",--,"816,653"
Hardwood,,types,,,,,,,,,,,
Oak-pine,Oak-pine,,,"623,638","623,638",,__,"12,384","12,384",,"111,194",--,"500,060"
Oak-hickory,Oak-hickory,,,"1,369,786","1,369,786",,-,"57,638","57,638",,"133,238",--,"1,178,910"
Chestnut,Chestnut,oak,,"10,586","10,586",,--,,__,,__,__,"10,586"
Southern,Southern,scrub,oak,,__,,-_,,--,,--,__,--
Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,"305,075","305,075",,--,,"7,852",,"44,754",--,"252,469"
Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,"60,889","60,889",,_-,,"3,269",,"11,139",--,"46,481"
Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,,__,,--,,__,,--,--,__
,Total,,,"2,369,974","2,369,974",,-_,"81,143","81,143",,"300,325",--,"1,988,506"
All,types,,,"3,702,266","3,702,266",,--,"146,753","146,753",,"750,354",__,"2,805,159"
22,,,,,,,,,,,,,
