Name: “Table 1 of 1 on page 60 of 78”,Name: “Table 1 of 1 on page 60 of 78”,Name: “Table 1 of 1 on page 60 of 78”,Name: “Table 1 of 1 on page 60 of 78”,Name: “Table 1 of 1 on page 60 of 78”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,
,Industry (SIC Type) Index,Industry (SIC Type) Index,Industry (SIC Type) Index,
,24211,HARDWOOD SAWMILL,HARDWOOD SAWMILL,
Company,,Page#,Company,Page#
Clinch Valley Lumber ..................... 39,Clinch Valley Lumber ..................... 39,Clinch Valley Lumber ..................... 39,Jerry R. Stowe ..................................3,
Collins Logging & Lumber .............. 32,Collins Logging & Lumber .............. 32,Collins Logging & Lumber .............. 32,John Edwards ................................. 44,
D. L. Triplett Lumber Co. ................ 43,D. L. Triplett Lumber Co. ................ 43,D. L. Triplett Lumber Co. ................ 43,Johnny R. Asal Lumber Co. ............. 17,
Dallas H. Mace ............................... 38,Dallas H. Mace ............................... 38,Dallas H. Mace ............................... 38,Kendall Lumber Co. ........................ 34,
Dillwyn Lumber ...............................9,Dillwyn Lumber ...............................9,Dillwyn Lumber ...............................9,Kidd Timber Co.(Stake Division) .......9,
Dominion Forest Products................ 24,Dominion Forest Products................ 24,Dominion Forest Products................ 24,Kirk Lumber Co.............................. 42,
Doug Gravely ................................. 44,Doug Gravely ................................. 44,Doug Gravely ................................. 44,Kisamore Lumber .............................4,
"E . A. Wright and Sons, Inc. ............. 24","E . A. Wright and Sons, Inc. ............. 24","E . A. Wright and Sons, Inc. ............. 24",Lewis Lumber Mill ......................... 24,
E. F. Fitzgerald,Lumber Co. ..............3,Lumber Co. ..............3,Lewis S. Moore and Sons................. 12,
"Earl W. Withers, Inc........................ 30","Earl W. Withers, Inc........................ 30","Earl W. Withers, Inc........................ 30",Lindsey Hardwoods Inc. .................. 35,
"Elbert Carico, Jr. and Son ................ 21","Elbert Carico, Jr. and Son ................ 21","Elbert Carico, Jr. and Son ................ 21",Llewellyn Brothers Lumber Co......... 10,
Ellis M. Palmore Lumber ................. 35,Ellis M. Palmore Lumber ................. 35,Ellis M. Palmore Lumber ................. 35,Lumberjacks Inc. ............................ 21,
F. E. Jones and Sons Lumber Co....... 43,F. E. Jones and Sons Lumber Co....... 43,F. E. Jones and Sons Lumber Co....... 43,M. J. Cox and Sons ...........................6,
Felts Lumber Co. ............................ 13,Felts Lumber Co. ............................ 13,Felts Lumber Co. ............................ 13,Martin's Sawmill............................. 19,
Ferguson Land and Lumber co. ........ 19,Ferguson Land and Lumber co. ........ 19,Ferguson Land and Lumber co. ........ 19,Max Kendall Lumber co. ................. 24,
Fitzgerald Lumber & Log Co. .......... 37,Fitzgerald Lumber & Log Co. .......... 37,Fitzgerald Lumber & Log Co. .......... 37,McDonald Lumber Co. .................... 43,
