County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
BUCKINGHAM,2009,"14,438.79","182,672.13","37,228.72","41,480.36","$6,285,677.43","$7,093,731.70","$13,379,409.13"
BRUNSWICK,2009,"36,178.00","226,015.00","5,072.99","25,748.36","$10,804,870.69","$998,139.73","$11,803,010.42"
CHARLOTTE,2009,"9,604.97","75,904.75","34,433.63","39,726.76","$3,177,885.56","$6,221,756.59","$9,399,642.15"
LOUISA,2009,"5,892.67","63,070.68","35,936.06","20,797.60","$2,247,884.74","$5,993,001.36","$8,240,886.10"
PITTSYLVANIA,2009,"14,688.84","99,347.65","14,354.56","53,157.96","$4,491,795.97","$3,361,001.90","$7,852,797.87"
MECKLENBURG,2009,"15,051.97","79,025.68","15,874.78","15,902.04","$4,087,304.28","$3,159,434.99","$7,246,739.26"
SOUTHAMPTON,2009,"20,028.42","133,702.20","2,193.46","45,869.33","$6,171,751.19","$751,514.19","$6,923,265.38"
CAROLINE,2009,"22,223.91","87,100.15","8,375.82","20,586.84","$5,362,704.05","$1,104,780.48","$6,467,484.54"
SUSSEX,2009,"16,968.99","141,303.23",715.87,"19,819.29","$5,825,660.29","$302,709.93","$6,128,370.22"
LUNENBURG,2009,"17,719.16","62,109.80","7,226.27","15,760.98","$4,148,323.47","$1,529,233.63","$5,677,557.10"
DINWIDDIE,2009,"18,152.49","86,224.83","2,492.21","34,219.56","$4,874,838.36","$706,057.55","$5,580,895.91"
HALIFAX,2009,"13,057.44","50,366.63","9,718.17","31,083.29","$3,158,083.32","$2,124,057.51","$5,282,140.83"
WISE,2009,0.00,0.00,"30,897.37","25,276.98",$0.00,"$4,881,754.55","$4,881,754.55"
AMELIA,2009,"17,276.50","43,898.85","5,332.58","10,284.00","$3,667,001.98","$1,125,552.57","$4,792,554.55"
NOTTOWAY,2009,"6,637.79","32,881.23","15,123.84","14,618.67","$1,761,593.04","$2,994,920.77","$4,756,513.81"
CAMPBELL,2009,"3,663.45","68,183.85","12,870.13","27,646.13","$2,075,206.73","$2,633,429.17","$4,708,635.90"
KING & QUEEN,2009,"15,486.50","56,573.43","4,081.32","17,056.80","$3,642,801.78","$670,460.51","$4,313,262.29"
CUMBERLAND,2009,"9,528.37","29,904.33","11,749.50","7,021.69","$2,049,037.66","$1,921,472.43","$3,970,510.10"
AMHERST,2009,"2,708.57","24,818.85","17,053.57","9,570.31","$941,466.31","$2,869,468.59","$3,810,934.91"
APPOMATTOX,2009,"6,158.13","48,685.45","8,901.97","4,107.64","$2,037,905.53","$1,705,343.67","$3,743,249.20"
BEDFORD,2009,"1,732.98","15,853.48","24,888.58","16,790.93","$480,676.17","$3,145,988.64","$3,626,664.81"
