County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
ACCOMACK,2007,6359,7313,4,1193,"$1,301,096.12","$4,952.18","$1,306,048.30"
ALBEMARLE,2007,29031,15117,3550,8883,"Â $4,496,778.75","Â $814,948.14","$5,311,726.88"
ALLEGHANY,2007,1363,3718,9795,23048,"Â $173,519.13","Â $2,533,743.98","Â $2,707,263.11"
AMELIA,2007,22648,62919,6355,41280,"Â $5,719,197.68","Â $1,583,038.41","Â $7,302,236.09"
AMHERST,2007,1529,21387,16051,18059,"Â $554,671.83","Â $3,057,687.43","Â $3,612,359.27"
APPOMATTOX,2007,2152,45975,2099,9845,"Â $1,297,535.46","Â $554,939.61","Â $1,852,475.08"
ARLINGTON,2007,0,8474,0,47,"Â $84,739.00",Â $236.00,"Â $84,975.00"
AUGUSTA,2007,18,1276,2602,3094,"Â $13,511.38","Â $613,371.41","Â $626,882.78"
BATH,2007,76,2509,1609,11378,"Â $29,755.00","Â $467,147.15","Â $496,902.15"
BEDFORD,2007,2463,10999,20818,23034,"Â $367,337.86","Â $4,554,156.70","Â $4,921,494.56"
BLAND,2007,586,208,4656,2951,"$91,727.33","$870,169.19","$961,896.52"
BOTETOURT,2007,5,7086,3758,22081,"Â $78,468.58","Â $1,044,381.60","Â $1,122,850.17"
BRISTOL,2007,0,0,17,0,-,"$3,063.63","$3,063.63"
BRUNSWICK,2007,44893,173978,15208,37856,"Â $13,161,975.51","Â $2,625,083.63","Â $15,787,059.15"
BUCHANAN,2007,0,40,1884,7025,Â $479.70,"Â $428,985.02","Â $429,464.72"
BUCKINGHAM,2007,14802,162661,11305,65188,"Â $5,666,401.70","Â $2,845,797.45","Â $8,512,199.14"
BUENA VISTA,2007,10,0,1718,0,"Â $1,230.59","Â $513,748.17","Â $514,978.77"
CAMPBELL,2007,5968,49392,7679,42521,"Â $2,101,169.67","Â $1,779,694.30","Â $3,880,863.97"
CAROLINE,2007,22231,44897,12182,25532,"Â $5,063,835.45","Â $1,895,896.97","Â $6,959,732.43"
CARROLL,2007,4878,2729,7095,3674,"Â $760,270.49","Â $1,305,816.29","Â $2,066,086.78"
CHARLES CITY,2007,6618,35295,6604,16837,"Â $1,837,080.65","Â $1,322,722.12","Â $3,159,802.77"
CHARLOTTE,2007,10206,46871,53552,47475,"Â $2,919,229.63","Â $10,364,636.49","Â $13,283,866.11"
CHESAPEAKE,2007,590,4255,479,8623,"Â $194,557.23","Â $192,650.33","Â $387,207.56"
CHESTERFIELD,2007,4063,23354,1582,10728,"Â $1,126,690.91","Â $338,952.86","Â $1,465,643.76"
CLARKE,2007,0,0,103,0,Â Â  -Â Â,"$28,364.43","Â $28,364.43"
COVINGTON,2007,230,0,0,0,"$23,011.51",Â  -Â Â,"$23,011.51"
CRAIG,2007,144,1218,431,10934,"Â $27,438.00","Â $170,534.55","Â $197,972.55"
CULPEPER,2007,2057,11148,554,2042,"Â $532,335.69","Â $134,600.52","Â $666,936.22"
CUMBERLAND,2007,10562,46190,14049,29215,"Â $2,623,642.97","Â $3,034,200.55","Â $5,657,843.52"
DICKENSON,2007,0,43,2324,18514,Â $515.10,"Â $608,645.33","Â $609,160.43"
DINWIDDIE,2007,25698,93564,1608,35235,"Â $6,769,149.71","Â $804,925.70","Â $7,574,075.41"
ESSEX,2007,2640,19879,12457,6762,"Â $848,708.12","Â $2,345,094.28","Â $3,193,802.40"
FAIRFAX,2007,0,2265,0,4400,"Â $22,646.00","Â $21,998.22","Â $44,644.22"
FAIRFAX CITY,2007,0,0,0,2045,Â  -Â Â,"Â $10,224.00","Â $10,224.00"
FAUQUIER,2007,28,4182,609,1767,"Â $53,232.89","Â $178,021.85","Â $231,254.73"
FLOYD,2007,5535,967,8032,1248,"Â $536,500.57","Â $1,135,110.41","Â $1,671,610.97"
FLUVANNA,2007,2169,20937,312,8101,"Â $637,936.45","Â $153,497.47","Â $791,433.92"
FRANKLIN,2007,2782,10054,14946,26810,"Â $360,929.24","Â $2,992,972.82","Â $3,353,902.06"
FREDERICK,2007,0,5114,763,6459,"Â $61,370.70","Â $233,846.42","Â $295,217.12"
GILES,2007,1254,114,5755,272,"Â $126,465.13","Â $1,095,811.53","Â $1,222,276.66"
