County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
NOTTOWAY,2008,"10,915.00","43,893.00","20,093.00","20,712.00","$2,379,747.00","$2,692,370.00","$5,072,117.00"
CAMPBELL,2008,"8,782.00","65,481.00","14,852.00","25,279.00","$2,460,764.00","$1,882,040.00","$4,342,804.00"
APPOMATTOX,2008,"7,534.00","62,001.00","13,277.00","6,711.00","$2,216,020.00","$1,714,860.00","$3,930,880.00"
ALBEMARLE,2008,"17,466.00","11,383.00","5,285.00","7,612.00","$2,766,331.00","$786,637.00","$3,552,968.00"
AMHERST,2008,"2,591.00","23,314.00","20,074.00","9,847.00","$821,252.00","$2,707,802.00","$3,529,054.00"
SURRY,2008,"9,434.00","34,710.00","7,134.00","29,639.00","$2,151,782.00","$1,217,779.00","$3,369,561.00"
KING & QUEEN,2008,"3,464.00","56,127.00","11,434.00","18,028.00","$1,547,907.00","$1,498,206.00","$3,046,113.00"
ISLE OF WIGHT,2008,"11,530.00","39,101.00",705.00,"22,523.00","$2,589,275.00","$335,878.00","$2,925,153.00"
BEDFORD,2008,"2,932.00","11,987.00","21,438.00","18,927.00","$451,973.00","$2,391,408.00","$2,843,381.00"
AMELIA,2008,"11,026.00","33,927.00","3,783.00","14,793.00","$2,211,988.00","$620,555.00","$2,832,543.00"
SUFFOLK,2008,"11,336.00","29,214.00","1,249.00","21,594.00","$2,384,664.00","$393,659.00","$2,778,323.00"
POWHATAN,2008,"5,429.00","20,645.00","10,961.00","5,211.00","$1,184,847.00","$1,515,134.00","$2,699,981.00"
PRINCE EDWARD,2008,"6,076.00","25,808.00","9,407.00","16,242.00","$1,351,628.00","$1,307,170.00","$2,658,798.00"
PRINCE GEORGE,2008,"7,003.00","53,212.00","2,007.00","11,649.00","$2,074,113.00","$379,014.00","$2,453,127.00"
ROCKBRIDGE,2008,112.00,"5,376.00","15,653.00","7,309.00","$98,424.00","$2,304,160.00","$2,402,584.00"
SCOTT,2008,10.00,18.00,"21,065.00","14,295.00","$1,207.00","$2,334,915.00","$2,336,122.00"
FRANKLIN COUNTY,2008,"3,928.00","10,711.00","13,055.00","16,483.00","$535,947.00","$1,519,122.00","$2,055,069.00"
NELSON,2008,"1,574.00","19,830.00","10,539.00","8,040.00","$606,587.00","$1,444,109.00","$2,050,696.00"
ESSEX,2008,"2,670.00","30,689.00","7,846.00","12,796.00","$969,768.00","$1,026,879.00","$1,996,647.00"
CHARLES CITY,2008,"7,501.00","27,822.00","2,186.00","8,923.00","$1,644,920.00","$301,411.00","$1,946,331.00"
PATRICK,2008,"2,638.00","10,215.00","12,571.00","23,735.00","$399,234.00","$1,533,570.00","$1,932,804.00"
SPOTSYLVANIA,2008,"6,173.00","21,568.00","4,474.00","11,756.00","$1,307,209.00","$624,608.00","$1,931,817.00"
CHESTERFIELD,2008,"5,521.00","33,171.00","2,595.00","10,256.00","$1,469,355.00","$390,853.00","$1,860,208.00"
HENRY,2008,"5,978.00","25,888.00","6,983.00","13,904.00","$940,300.00","$858,351.00","$1,798,651.00"
GRAYSON,2008,"5,513.00","1,001.00","11,325.00","1,194.00","$569,873.00","$1,199,871.00","$1,769,744.00"
ORANGE,2008,"3,411.00","11,866.00","6,621.00","8,109.00","$723,267.00","$964,871.00","$1,688,138.00"
HANOVER,2008,"5,169.00","19,046.00","3,772.00","15,970.00","$1,158,811.00","$510,821.00","$1,669,632.00"
STAFFORD,2008,"3,414.00","3,978.00","7,595.00","6,657.00","$573,819.00","$1,083,362.00","$1,657,181.00"
KING WILLIAM,2008,"4,764.00","33,984.00","1,102.00","15,792.00","$1,364,465.00","$257,474.00","$1,621,939.00"
FLUVANNA,2008,"3,313.00","26,011.00","3,691.00","6,037.00","$977,851.00","$557,310.00","$1,535,161.00"
ALLEGHANY,2008,"1,404.00","3,257.00","7,942.00","20,312.00","$143,798.00","$1,318,514.00","$1,462,312.00"
CARROLL,2008,"3,667.00","2,104.00","7,986.00","4,294.00","$387,183.00","$965,022.00","$1,352,205.00"
GILES,2008,476.00,99.00,"8,709.00",870.00,"$49,372.00","$922,275.00","$971,647.00"
LEE,2008,0.00,91.00,"8,911.00","2,815.00","$1,183.00","$959,625.00","$960,808.00"
NEW KENT,2008,"2,302.00","9,213.00","2,756.00","9,493.00","$480,359.00","$356,546.00","$836,905.00"
TAZEWELL,2008,17.00,63.00,"7,129.00","7,885.00","$2,523.00","$818,985.00","$821,508.00"
WESTMORELAND,2008,978.00,"21,452.00","2,017.00","4,697.00","$539,337.00","$277,599.00","$816,936.00"
ACCOMACK,2008,"4,948.00",22.00,0.00,47.00,"$806,680.00",$423.00,"$807,103.00"
RICHMOND COUNTY,2008,368.00,"22,250.00","2,245.00","8,847.00","$457,554.00","$337,931.00","$795,485.00"
GOOCHLAND,2008,"2,246.00","13,396.00","1,103.00","3,235.00","$582,432.00","$182,284.00","$764,716.00"
SHENANDOAH,2008,0.00,"5,310.00","4,068.00","7,095.00","$90,279.00","$641,432.00","$731,711.00"
MADISON,2008,695.00,150.00,"4,210.00","1,451.00","$104,384.00","$575,891.00","$680,275.00"
KING GEORGE,2008,"1,597.00","9,348.00","1,823.00","1,015.00","$420,582.00","$225,057.00","$645,639.00"
MATHEWS,2008,"1,903.00","14,159.00",173.00,"7,146.00","$555,588.00","$77,755.00","$633,343.00"
FLOYD,2008,"1,939.00","1,166.00","3,764.00","1,334.00","$211,016.00","$407,226.00","$618,242.00"
FREDERICK,2008,17.00,"9,854.00","2,620.00","6,429.00","$168,589.00","$432,521.00","$601,110.00"
BOTETOURT,2008,0.00,"5,957.00","3,525.00","15,394.00","$77,441.00","$508,671.00","$586,112.00"
MONTGOMERY,2008,"1,216.00",91.00,"3,360.00","5,006.00","$124,041.00","$397,854.00","$521,895.00"
FAUQUIER,2008,135.00,"11,718.00","2,075.00","2,377.00","$215,564.00","$293,379.00","$508,943.00"
NORTHUMBERLAND,2008,336.00,"14,289.00","1,256.00","3,857.00","$310,260.00","$180,320.00","$490,580.00"
CULPEPER,2008,792.00,"9,364.00","1,285.00","1,278.00","$293,610.00","$184,963.00","$478,573.00"
GLOUCESTER,2008,496.00,"17,683.00",98.00,"5,346.00","$392,633.00","$46,457.00","$439,090.00"
BATH,2008,94.00,"2,853.00","1,639.00","12,540.00","$54,452.00","$347,237.00","$401,689.00"
CHESAPEAKE,2008,519.00,"5,588.00",516.00,"7,814.00","$181,634.00","$150,454.00","$332,088.00"
LANCASTER,2008,242.00,"9,680.00",702.00,"3,438.00","$212,450.00","$111,042.00","$323,492.00"
JAMES CITY,2008,"1,040.00","5,005.00",44.00,"6,685.00","$254,382.00","$58,716.00","$313,098.00"
AUGUSTA,2008,5.00,"4,484.00","1,074.00","6,025.00","$76,543.00","$207,807.00","$284,350.00"
MIDDLESEX,2008,639.00,"6,501.00",137.00,"4,034.00","$218,031.00","$48,575.00","$266,606.00"
PULASKI,2008,656.00,466.00,"1,774.00",679.00,"$72,340.00","$192,381.00","$264,721.00"
LOUDOUN,2008,0.00,0.00,"1,772.00",474.00,$0.00,"$257,662.00","$257,662.00"
BUCHANAN,2008,0.00,33.00,"1,855.00","6,307.00",$429.00,"$251,538.00","$251,967.00"
RUSSELL,2008,0.00,21.00,"1,878.00","5,979.00",$273.00,"$250,791.00","$251,064.00"
DICKENSON,2008,0.00,0.00,763.00,"16,113.00",$0.00,"$225,132.00","$225,132.00"
HENRICO,2008,"1,163.00",405.00,167.00,"1,742.00","$191,072.00","$33,809.00","$224,881.00"
NORTHAMPTON,2008,"1,311.00",42.00,0.00,46.00,"$214,009.00",$414.00,"$214,423.00"
WYTHE,2008,516.00,948.00,"1,302.00","1,291.00","$64,477.00","$148,329.00","$212,806.00"
ROANOKE COUNTY,2008,153.00,"1,087.00",735.00,"9,737.00","$29,587.00","$164,808.00","$194,395.00"
HIGHLAND,2008,0.00,"1,087.00",725.00,"4,777.00","$18,479.00","$146,668.00","$165,147.00"
BLAND,2008,125.00,231.00,"1,158.00","2,086.00","$15,634.00","$140,364.00","$155,998.00"
ROCKINGHAM,2008,230.00,152.00,851.00,996.00,"$17,081.00","$130,657.00","$147,738.00"
PAGE,2008,230.00,280.00,690.00,"1,310.00","$19,257.00","$110,460.00","$129,717.00"
FAIRFAX,2008,0.00,"2,794.00",0.00,"5,445.00","$53,086.00","$59,895.00","$112,981.00"
SMYTH,2008,0.00,93.00,834.00,"1,420.00","$1,209.00","$100,350.00","$101,559.00"
CRAIG,2008,50.00,"1,306.00",207.00,"6,074.00","$22,007.00","$76,401.00","$98,408.00"
RAPPAHANNOCK,2008,0.00,0.00,676.00,131.00,$0.00,"$97,847.00","$97,847.00"
YORK,2008,427.00,629.00,0.00,"1,632.00","$78,825.00","$13,056.00","$91,881.00"
GREENE,2008,88.00,0.00,527.00,92.00,"$12,848.00","$71,103.00","$83,951.00"
WARREN,2008,23.00,544.00,301.00,"2,514.00","$10,667.00","$65,669.00","$76,336.00"
MARTINSVILLE,2008,0.00,"3,404.00",0.00,"3,343.00","$44,252.00","$30,087.00","$74,339.00"
CLARKE,2008,0.00,12.00,302.00,194.00,$204.00,"$44,932.00","$45,136.00"
NEWPORT NEWS,2008,198.00,565.00,0.00,272.00,"$41,515.00","$2,176.00","$43,691.00"
WASHINGTON,2008,0.00,90.00,300.00,671.00,"$1,170.00","$37,539.00","$38,709.00"
PRINCE WILLIAM,2008,0.00,303.00,0.00,"2,575.00","$5,757.00","$28,325.00","$34,082.00"
VIRGINIA BEACH,2008,17.00,149.00,64.00,"1,252.00","$5,372.00","$21,772.00","$27,144.00"
HARRISONBURG,2008,230.00,0.00,0.00,0.00,"$14,497.00",$0.00,"$14,497.00"
COVINGTON,2008,230.00,0.00,0.00,0.00,"$14,497.00",$0.00,"$14,497.00"
POQUOSON,2008,26.00,0.00,0.00,0.00,"$4,152.00",$0.00,"$4,152.00"
HAMPTON,2008,0.00,58.00,0.00,193.00,"$1,044.00","$1,544.00","$2,588.00"
PETERSBURG,2008,0.00,70.00,0.00,65.00,"$1,190.00",$715.00,"$1,905.00"
PORTSMOUTH,2008,5.00,0.00,0.00,9.00,$835.00,$99.00,$934.00
BUENA VISTA,2008,0.00,0.00,2.00,0.00,$0.00,$266.00,$266.00
