County,Year,Pine (MBF),Pine (cords),Hardwood (MBF),Hardwood (cords),Value: Pine,Value: Hardwood,Total Value
BRUNSWICK,2008,"51,872.00","236,453.00","9,432.00","46,780.00","$12,629,751.00","$1,693,580.00","$14,323,331.00"
BUCKINGHAM,2008,"23,743.00","171,162.00","33,791.00","40,993.00","$6,547,376.00","$4,424,305.00","$10,971,681.00"
CHARLOTTE,2008,"10,047.00","65,994.00","59,336.00","57,920.00","$2,653,671.00","$6,897,950.00","$9,551,621.00"
DINWIDDIE,2008,"26,035.00","188,672.00","1,292.00","29,189.00","$7,547,464.00","$482,579.00","$8,030,043.00"
SOUTHAMPTON,2008,"27,716.00","122,975.00","4,594.00","54,611.00","$6,711,051.00","$1,174,971.00","$7,886,022.00"
LOUISA,2008,"5,476.00","57,340.00","37,106.00","12,798.00","$1,888,988.00","$4,929,443.00","$6,818,431.00"
PITTSYLVANIA,2008,"17,808.00","111,721.00","13,196.00","45,706.00","$4,610,883.00","$2,106,560.00","$6,717,443.00"
SUSSEX,2008,"21,228.00","151,253.00",910.00,"27,295.00","$6,107,726.00","$413,995.00","$6,521,721.00"
MECKLENBURG,2008,"18,314.00","74,249.00","17,972.00","24,242.00","$4,003,178.00","$2,488,920.00","$6,492,098.00"
CAROLINE,2008,"18,700.00","55,963.00","12,188.00","9,943.00","$3,959,745.00","$1,360,222.00","$5,319,967.00"
WISE,2008,248.00,0.00,"48,700.00","17,639.00","$25,066.00","$5,272,251.00","$5,297,317.00"
HALIFAX,2008,"14,254.00","56,119.00","14,588.00","39,907.00","$3,091,188.00","$2,169,695.00","$5,260,883.00"
CUMBERLAND,2008,"8,771.00","40,145.00","22,485.00","16,911.00","$2,043,278.00","$3,152,320.00","$5,195,598.00"
LUNENBURG,2008,"19,109.00","65,744.00","8,212.00","21,535.00","$3,973,305.00","$1,184,225.00","$5,157,530.00"
GREENSVILLE,2008,"20,625.00","53,191.00","2,748.00","44,418.00","$4,315,533.00","$832,098.00","$5,147,631.00"
