Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”,Name: “Table 1 of 1 on page 37 of 68”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,,,,,,,,,,,,,,
Table,19--Average,net,amma1,growth,of,growing,stock,on,"timberland,","timberland,",by,broad,management,"class,",species,"group,",and,stand-age,"class,",
Northern,Piedmont,"of Virginia,","of Virginia,","of Virginia,",1986-1991,1986-1991,,,,,,,,,,,,,,
Broad m an age m e n t,Broad m an age m e n t,,,,,NO,,,,,,,,Stand-age,classa,(ye ars),(ye ars),,,
classa and,classa and,,All,All,m anage able,m anage able,,,,,,,,,,,,,,
spe cie s,group,,classe s,classe s,,stand,,O-10,,11-20,,21-30,21-30,31-40,41-50,51-60,51-60,61-70,71-80,81+
,,,,,,,,,,,,Th ousand,Th ousand,cubic fe e t,,,,,,
Pine,plantation,,"19,863","19,863",,-,,"1,603","1,603","7,29 6",,"8,388","8,388","2,576",__,__,__,- -,_ -,- -
Softwood,Softwood,,,,,,,,,,,,,,,,,,,
Hardwood,Hardwood,,"1,253","1,253",,__,,_-,_-,40,,562,562,651,-_,__,__,-_,__,-_
,,,"21,116","21,116",,-,,"1,603","1,603","7,336",,"8,9 50","8,9 50","3,227",_-,-_,-_,- -,-_,- -
Natural,pine,,,,,,,,,,,,,,,,,,,
Softwood,Softwood,,"13,348","13,348",,- -,,12,12,"1,432",,"3,9 76","3,9 76","2,732","2,080","1,9 9 1","1,9 9 1",9 00,171,54
Hardwood,Hardwood,,"3,774","3,774",,- -,,15,15,156,,9 73,9 73,79 0,59 9,767,767,412,26,36
,Total,,"17,122","17,122",,- -,,27,27,"1,588",,"4,9 49","4,9 49","3,522","2,679","2,758","2,758","1,312",19 7,90
Oak-pine,,,,,,,,,,,,,,,,,,,,
Softw ood,Softw ood,,"5,588","5,588",,389,,37,37,821,,441,441,708,643,"1,152","1,152",779,59,559
H ardw ood,H ardw ood,,"8,552","8,552",,423,,32,32,337,,530,530,"1,083","1,353","2,353","2,353","1,39 2",39 6,653
,Total,,"14,140","14,140",,812,,69,69,"1,158",,9 71,9 71,"1,79 1","1,9 9 6","3,505","3,505","2,171",455,"1,212"
Upland,hardwood,,,,,,,,,,,,,,,,,,,
Softwood,Softwood,,"2,449","2,449",,117,,,8,175,,237,237,478,178,231,231,329,357,339
Hardwood,Hardwood,,"75,669","75,669",,"4,665",,758,758,"2,161",,"3,587","3,587","6,074","6,535","14,384","14,384","14,845","10,711","11,9 49"
,Total,,"78,118","78,118",,"4,782",,766,766,"2,336",,"3,824","3,824","6,552","6,713","14,615","14,615","15,174","11,068","12,288"
Lowland,hardwood,,,,,,,,,,,,,,,,,,,
Softwood,Softwood,,,133,,49,,-,-,- -,,,- -,-_,60,- -,- -,24,- -,_-
Hardwood,Hardwood,,"3,853","3,853",,383,,383,383,202,,,- -,212,812,607,607,870,215,169
,Total,,"3,9 86","3,9 86",,432,,383,383,202,,,__,212,872,607,607,89 4,215,169
All,types,,,,,,,,,,,,,,,,,,,
Softwood,Softwood,,"41,381","41,381",,555,,"1,660","1,660","9 ,724",,"13,042","13,042","6,49 4","2,9 61","3,374","3,374","2,032",587,9 52
Hardwood,Hardwood,,"9 3,101","9 3,101",,"5,471",,"1,188","1,188","2,89 6",,"5,652","5,652","8,810","9 ,29 9","18,111","18,111","17,519","11,348","12,807"
,Total,,"134,482","134,482",,"6,026",,"2,848","2,848","12,620",,"18,69 4","18,69 4","15,304","12,260","21,485","21,485","19 ,551","11,9 35","13,759"
aClassifications,aClassifications,at th e,e nd,of th e,re m e asure m e nt pe riod.,re m e asure m e nt pe riod.,re m e asure m e nt pe riod.,re m e asure m e nt pe riod.,re m e asure m e nt pe riod.,,,,,,,,,,,
