Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”,Name: “Table 1 of 1 on page 44 of 68”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,,,,,,,,,,,,,,
Table,29--Average,net,annual,growth,and,removals,of,growing,stock,on,"timberland,",by,ownership,ownership,class,class,and,species,species,"group,",,
Horthern,Piedmont,of,"Virginia,",1986-1991,1986-1991,,,,,,,,,,,,,,,,,
,,,,,,,Net,annual,growth,,,,,,,,,,Annual,timber,removals,
Ownership,Ownership,class,,,,,,,,,,,,,,,,,,,,
,,,,All,,,,Other,,Soft,Hard,,,All,,,,,,Other,Soft,Hard
,,,,,,Pine,,,,,,,,,,,Pine,Pine,,,,
,,,,species,,,softwood,softwood,hardwood,hardwood,hardwood,hardwood,species,species,species,,,,softwood,softwood,hardwood,hardwood
,,,,,,,,,,,Thousand,Thousand,cubic,feet,feet,,,,,,,
National,forest,,,"3,278",,57,,241,,"1,270","1,710","1,710",,"1,061","1,061",,,--,,__,443,618
Other,public,,,"4,754",,"1,430",,14,,"1,783","1,527","1,527",,"1,478","1,478",,,_-,,--,119,"1,359"
Forest,industry,,,"17,017",,"13,607",,151,,"1,515","1,744","1,744",,"7,800","7,800",,"6,889","6,889",,77,229,605
Forest,industry-leased,industry-leased,,--,,--,,_-,,_-,,--,,,--,,,--,,_-,--,-_
Other,private,,,"109,433",,"22,759",,"3,122","34,096","34,096","49,456","49,456","62,466","62,466","62,466",,"24,961","24,961",,655,"10,569","26,281"
All,ownerships,,,"134,482",,"37,853",,"3,528","38,664","38,664","54,437","54,437","72,805","72,805","72,805",,"31,850","31,850",,732,"11,360","28,863"
Table,30-Average,net,annual,growth,and,removals,of,sawtimber,on,"timberland,",by,ownership,class,class,class,and,species,species,"group,","group,",,
Northern,Piedmont,of,"Virginia,",1986-1991,1986-1991,,,,,,,,,,,,,,,,,
,,,,,,,Net,annual,growth,,,,,,,,,,Annual,timber,removals,
Ownership,Ownership,class,,,,,,,,,,,,,,,,,,,,
,,,,All,,,,Other,,Soft,Hard,Hard,,All,All,,,,,Other,Soft,Hard
,,,,species,,,softwood,softwood,hardwood,hardwood,hardwood,hardwood,,,,,Pine,Pine,,,,
,,,,,,,,,,,,,species,species,species,,,,softwood,softwood,hardwood,hardwood
,,,,,,,,,,,Thousand,Thousand,board,feet,feet,,,,,,,
National,forest,,,"15,845",,114,,663,,"6,707","8,361","8,361",,"3,412","3,412",,,--,,--,"1,639","1,773"
Other,public,,,"23,650",,"8,151",,--,,"8,801","6,698","6,698",,"4,995","4,995",,,--,,-_,471,"4,524"
Forest,industry,,,"30,969",,"18,377",,19 3,,"6,683","5,716","5,716","15,692","15,692","15,692",,"15,246","15,246",,__,__,446
Forest,industry-leased,industry-leased,,-_,,--,,-_,,--,,_-,,,__,,,__,,_-,__,--
Other,private,,,"481,649",,"81,605","12,051","12,051","164,844","164,844","223,149","223,149","199,786","199,786","199,786",,"75,317","75,317",,"1,758","35,355","87,356"
All,ownerships,,,"552,113",,"108,247","12,9 07","12,9 07","187,035","187,035","243,9 24","243,9 24","223,885","223,885","223,885",,"90,563","90,563",,"1,758","37,465","94,099"
