,,,S p e ci e s,S p e ci e s,,,cla s s e s,cla s s e s,l.O-,,3.0-,,5.0-,,7.0-,9 .0-,,ll.O-,,13.0-,13.0-,,15.0-,15.0-,17.0-,19 .0-,21 .o-,29 .0,and
,,,,,,,,,2.9,,4.9,,6.9,,a.9,10.9,,12.9,,14.9,,,16.9,,18.9,20.9,28.9,la r g e r,
,,,,,,,,,,,,,,,,H u n d r e d,th ou s a n d,th ou s a n d,p o u n d s,,,,,,,,,,
,B a ld cy p r e s s,B a ld cy p r e s s,B a ld cy p r e s s,,,,,_-,,-_,__,,__,,,,,,,,,,,,,,,,
,Pon d cy p r e s s,Pon d cy p r e s s,Pon d cy p r e s s,,,,,__,,_-,_-,,_-,,__,_-,,,--,,--,,,--,--,,-_,,--
,Ce d a r s,Ce d a r s,,,,,"55,9 87","55,9 87","6,614","6,614","11,651",,"18,677","8,307","8,307","6,019",,"2,781","2,781",,79 7,,"1,141","1,141",,,,,
,Tota l s oftw ood s,Tota l s oftw ood s,Tota l s oftw ood s,Tota l s oftw ood s,Tota l s oftw ood s,,"9 15,187","9 15,187","21,865","21,865","62,089",,"19 4,710","210,087","210,087","170,876","135,619","135,619","135,619","61,69 9","61,69 9",,"23,165","23,165","11,9 56","9 ,282","12,289","1,550",
,llardw ood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Se le,ct,w h i te,oak s,oak s,,"697,682","697,682","8,840","8,840","1 9 ,89 5",,"2 9 ,137","45,317","45,317","88,473","83,107","83,107","83,107","88,9 9 4","88,9 9 4",,"101,554","101,554","76,823","56,423","9 1,19 0","7,929",
,S e le,ct,r e d,o a k s,,,"2 9 5,482","2 9 5,482","2,301","2,301","8,182",,"10,783","12,559","12,559","15,169","32,045","32,045","32,045","38,49 0","38,49 0",,"3 9 ,432","3 9 ,432","31,005","27,119","63,338","15,059",
,Ch e s tn u t,Ch e s tn u t,Ch e s tn u t,oak,,,"440,041","440,041","2,742","2,742","7,302",,"12,183","30,413","30,413","4 9 ,258",,"55,013","55,013","5 9 ,347","5 9 ,347",,"52,416","52,416","4 9 ,604","40,878","61,138","1 9 ,747",
,O th e r,,w h i te,oak s,oak s,,"38,349","38,349","1,570","1,570","2,439",,"1,642","2,89 5","2,89 5","5,616",,"3,843","3,843","5,884","5,884",,"6,563","6,563","2,463","2,257","1,69 3","1,484",
,O th e r,,re d,oak s,,,"5 1 5 , 9 10","5 1 5 , 9 10","10,333","10,333","20,456",,"31,882","42,69 5","42,69 5","70,433","63,746","63,746","63,746","62,9 66","62,9 66",,"6 9 ,540","6 9 ,540","43,749","30,69 8","65,533","3,879",
,H i ck ory,H i ck ory,,,,,"312,678","312,678","8,586","8,586","11,720",,"20,331","31,39 4","31,39 4","43,353",,"52,630","52,630","3 9 ,103","3 9 ,103",,"3 9 ,655","3 9 ,655","24,013","13,49 7","27,021","1,375",
,Y e llow,Y e llow,b irch,,,,,- -,,__,__,,-_,,_-,-_,,,__,,--,,,__,_-,__,_-,,__
,H ard,m aple,m aple,,,,"3,816","3,816",,14,537,,_-,,474,__,,,- -,1,144,,,--,_-,a72,775,,__
,Soft,m a p le,m a p le,,,,"3 1 2 , 9 77","3 1 2 , 9 77","28,606","28,606","31,803",,"36,9 82","4 1 , 9 34","4 1 , 9 34","41,9 50","40,541","40,541","40,541",31,685,,la ‘7 686,la ‘7 686,"13,9 31","7 , 9 25","15,685","3,249",
,Be e ch,,,,,,"a3,659","a3,659","3,605","3,605","4,434",,"4,143","8,506","8,506","10,224",,"10,118","10,118",4,483,,12 f 513,12 f 513,"9 ,201","6,442","9 ,9 9 0",,__
,Sw e e tgum,Sw e e tgum,,,,,"9 7,9 2 9","9 7,9 2 9","6,819","6,819","7,483",,"10,519","15,602","15,602","16,678",,"13,040","13,040",9,677,,8,9 51,"2,352","3,361","2,562",885,
,Tu p e lo,Tu p e lo,a n d,b lack gum,b lack gum,,"84,038","84,038","12,504","12,504","11,406",,"7,168","5,9 81","5,9 81","11,786",,"8,851","8,851",8,866,,"8 , 636","8 , 636","2,480","1,79 8","4,085",477,
,Ash,,,,,,"7 9 ,205","7 9 ,205","2,9 67","2,9 67","7,227",,"6,850","10,658","10,658","10,268",,"10,073","10,073",9,995,,6 9’9 28,6 9’9 28,"4,170","3,721","5,335","1,013",
,Cotton w ood,Cotton w ood,Cotton w ood,,,,637,637,,_-,-_,,-_,,-_,__,,637,637,,^_,,,-_,_-,__,-_,,__
,B a s s w ood,B a s s w ood,,,,,"15,775","15,775",179,179,229,,"1,39 4",,a17,"1,530",,"2,867","2,867","3,737","3,737",,"2,619","2,619","1,440",687,276,,-_
,Y e llow - p o p la r,Y e llow - p o p la r,Y e llow - p o p la r,,,,"702,163","702,163","9 ,473","9 ,473","23,09 5",,"24,042","33,386","33,386","50,059","71,581","71,581","71,581","9 3,663","9 3,663",,"110,772","110,772","9 8,886","74,422","9 2,249","20,535",
,B a y,a n d,m agnolia,m agnolia,m agnolia,,130,130,130,130,_-,,_-,,_-,_-,,,__,,__,,,- -,- -,__,__,,__
,B la ck,,ch e rry,,,,"26,311","26,311","2,704","2,704","4,716",,"1,788",,"2,9 16","3,542",,"4,208","4,208","1,89 1","1,89 1",,,807,613,_-,"3,126",,__
,Bla ck,,w a ln u t,,,,"43,153","43,153",224,224,"1,124",,"1,438","2,273","2,273","9 ,146",,"6,206","6,206","7,605","7,605",,"4,59 4","4,59 4","1,111","6,023","3,409",,- -
,Sycam ore,Sycam ore,,,,,"38,724","38,724",533,533,"1,9 58",,-_,"2,347","2,347","1,09 0",,"4,165","4,165","2,822","2,822",,"9 ,009","9 ,009","5,857","2,9 37","4,702","3,304",
,B la ck,,locu s t,,,,"7 9 ,533","7 9 ,533","1,29 6","1,29 6",857,,"7,469","4,530","4,530","18,689",,"15,206","15,206","15,571","15,571",,"8,29 2","8,29 2","4,201","2,556",866,,__
,E lm,,,,,,"23,463","23,463","1,528","1,528","1,871",,"4 , 9 53","3,018","3,018","1,546",,"2,9 51","2,9 51","2,528","2,528",,"2,427","2,427","1,69 7",-_,9 44,,__
,O th e r,,e a s te r n,,,,,,,,,,,,,,,,,,,,,,,,,,
,h ardw ood s,h ardw ood s,h ardw ood s,,,,"251,607","251,607","48,9 74","48,9 74","45,29 2",,"33,683","35,651","35,651","26,353","22,123","22,123","22,123","12,124","12,124",,"9,650","9,650","4 , 9 58","4,077","7,632","1,09 0",
,Tota l h a r d w ood s,Tota l h a r d w ood s,Tota l h a r d w ood s,Tota l h a r d w ood s,Tota l h a r d w ood s,,"4,143,262","4,143,262","153,9 28","153,9 28","212,026","246,387","246,387","333,366","333,366","475,163","5 0 2 , 9 51","5 0 2 , 9 51","5 0 2 , 9 51","500,575","500,575",,"513,044","513,044","378,554","285,69 3","461,549","80,026",
,A ll s p e ci e s,A ll s p e ci e s,A ll s p e ci e s,,,,"5,058,449","5,058,449","175,79 3","175,79 3","274,115","441,09 7","441,09 7","543,453","543,453","646,039","638,570","638,570","638,570","562,274","562,274",,"536,209","536,209","39 0,510","2 9 4 , 9 75","473,838","81,576",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y
