Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”,Name: “Table 1 of 1 on page 36 of 68”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,,,,,,,,
k%,Tab le,18--Volum e,of grow ing stock,ou,"tim b e r land,",by,broad,"m anage m e nt class,","m anage m e nt class,",spe cie s,spe cie s,"group,",and,stand-age,"class,",,,,
,North e rn,Pie d m ont of,"Virginia,",19 9 2,,,,,,,,,,,,,,,
,Broad m an age m e n t,Broad m an age m e n t,,No,,,,,,,Stand-age,Stand-age,class,(ye ars),,,,,
,class,and,All,m anage able,,,,,,,,,,,,,,,
,spe cie s,group,classe s,stand,O-10,,11-20,11-20,21-30,31-40,31-40,41-50,41-50,51-60,51-60,61-70,71-80,,81+
,,,,,,,,,,Th ousand,cubic fe e t,cubic fe e t,,,,,,,
,Pine,plantation,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"213,427",_-,"4,165","4,165","36,281","36,281","112,259","60,722","60,722",,- -,,- -,- -,- -,,__
,H ardw ood,H ardw ood,"8,004",__,-_,-_,359,359,"5,306","2,339","2,339",,- -,,__,-_,__,,- -
,Total,Total,"221,431",- -,"4,165","4,165","36,640","36,640","117,565","63,061","63,061",,- -,,-_,_-,- -,,__
,Natural pine,Natural pine,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"432,024",_-,503,503,"16,106","16,106","82,210","9 3,748","9 3,748","87,010","87,010","9 4,075","9 4,075","48,9 20","5,9 67","3,485",
,H er dw ood,H er dw ood,"9 0,861",- -,686,686,"2,249","2,249","15,535","15,835","15,835","16,268","16,268","24,9 47","24,9 47","10,715","2,300","2,326",
,Total,Total,"522,885",__,"1,189","1,189","18,355","18,355","9 7,745","109 ,583","109 ,583","103,278","103,278","119 ,022","119 ,022","59 ,635","8,267","5,811",
,Oak -pine,,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"172,804","3,717",- -,- -,"7,880","7,880","6,19 4","13,617","13,617","20,556","20,556","48,39 3","48,39 3","38,9 54","6,121","27,372",
,H ardw ood,H ardw ood,"262,428","11,675",838,838,"6,051","6,051","12,340","22,105","22,105","33,89 9","33,89 9","82,553","82,553","45,802","16,164","31,001",
,Total,Total,"435,232","15,39 2",838,838,"13,9 31","13,9 31","18,534","35,722","35,722","54,455","54,455","130,9 46","130,9 46","84,756","22,285","58,373",
,Upland h ardw ood,Upland h ardw ood,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"106,509","4,783",9 47,9 47,"4,9 22","4,9 22","6,375","8,204","8,204","8,9 51","8,9 51","13,822","13,822","23,377","21,143","13,9 85",
,H ardw ood,H ardw ood,"3,181,29 2","152,9 08","15,352","15,352","33,416","33,416","9 2,103","154,265","154,265","19 1,414","19 1,414","581,216","581,216","667,9 28","539 ,710","752,9 80",
,Total,Total,"3,287,801","157,69 1","16,29 9","16,29 9","38,338","38,338","9 8,478","162,469","162,469","200,365","200,365","59 5,038","59 5,038","69 1,305","560,853","766,9 65",
,Low land h ardw ood,Low land h ardw ood,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"5,687",876,- -,- -,,- -,__,,__,"2,788","2,788",,- -,"2,023",_-,,-_
,H ardw ood,H ardw ood,"119 ,29 5","13,615",629,629,"2,507","2,507",- -,"6,387","6,387","22,9 05","22,9 05","20,9 59","20,9 59","29 ,558","7,413","15,322",
,Total,Total,"124,9 82","14,49 1",629,629,"2,507","2,507",__,"6,387","6,387","25,69 3","25,69 3","20,9 59","20,9 59","31,581","7,413","15,322",
,All ty p e s,,,,,,,,,,,,,,,,,,
,Softw ood,Softw ood,"9 30,451","9 ,376","5,615","5,615","65,189","65,189","207,038","176,29 1","176,29 1","119 ,305","119 ,305","156,29 0","156,29 0","113,274","33,231","44,842",
,H ardw ood,H ardw ood,"3,661,880","178,19 8","17,505","17,505","44,582","44,582","125,284","200,9 31","200,9 31","264,486","264,486","709 ,675","709 ,675","754,003","565,587","801,629",
,Total,Total,"4,59 2,331","187,574","23,120","23,120","109 ,771","109 ,771","332,322","377,222","377,222","383,79 1","383,79 1","865,9 65","865,9 65","867,277","59 8,818","846,471",
,,,,,,,,,,,,,,,,,,,I
