Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”,Name: “Table 1 of 1 on page 38 of 68”
Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36,Table: 36
,,,,,,,,,,,,,,,,,,,,,
%,Table,20-Average,20-Average,annual,removals,of,growing,stock,on,"timberland,",by,broad,management,"class,","class,",species,"group,",and,stand-age,"class,",
,Northern,Piedmont,Piedmont,of,"Virginia,",1986-1991,1986-1991,,,,,,,,,,,,,,
,Broad,management,management,,,,NO,,,,,,,Stand-age,Stand-age,classa,(years),(years),,,
,,,,,All,,,,,,,,,,,,,,,,
,classa,classa,and,,,manageable,manageable,manageable,,,,,,,,,,,,,
,,,,,classes,,,,,,,,,,,,,,,,
,species,species,group,,,,stand,,O-10,O-10,11-20,21-30,21-30,31-40,,41-50,51-60,51-60,61-70,71-80,81+
,,,,,,,,,,,,Thousand,Thousand,cubic,feet,,,,,,
,Pine,plantation,plantation,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,"3,973",,-_,,,-_,574,"2,369","2,369","1,030","1,030",-_,,__,__,--,__
,Hardwood,Hardwood,Hardwood,,391,,-_,,,-,_-,,391,--,--,-_,,__,__,--,__
,,Total,,,"4,364",,--,,,--,574,"2,760","2,760","1,030","1,030",_-,,--,--,--,--
,Natural,pine,pine,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,"26,160",,51,,,--,362,"2,232","2,232","6,612","6,612","13,371",,224,"2,860",448,--
,Hardwood,Hardwood,Hardwood,,"4,015",,--,,,--,__,,--,691,691,"1,861",,420,963,80,__
,,Total,,,"30,175",,51,,,--,362,"2,232","2,232","7,303","7,303","15,232",,644,"3,823",528,--
,Oak-pine,,,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,"1,379",,_-,,,213,-,,--,460,460,300,,406,--,--,--
,Hardwood,Hardwood,Hardwood,,"3,726",,-_,,,a5,--,,--,935,935,555,,521,__,943,687
,,Total,,,"5,105",,--,,,298,--,,-_,"1,395","1,395",855,,927,--,943,687
,Upland,hardwood,hardwood,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,"1,070",,_-,,,_-,_-,,120,__,__,176,,340,--,167,267
,Hardwood,Hardwood,Hardwood,,31.477,,911,,,284,129,2.309,2.309,2.326,2.326,1.124,5.844,5.844,7.273,4.272,7.005
,,Total,,,"32,547",,911,,,284,129,"2,429","2,429","2,326","2,326","1,300","6,184","6,184","7,213","4,439","7,272"
,Lowland,hardwood,hardwood,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,--,,--,,,-,-_,,__,--,--,--,,__,--,--,_-
,Hardwood,Hardwood,Hardwood,,614,,513,,,-,_-,,_-,--,--,--,,__,101,--,--
,,Total,,,614,,513,,,__,--,,-_,--,--,__,,__,101,--,--
,All,types,,,,,,,,,,,,,,,,,,,
,Softwood,Softwood,Softwood,,"32,582",,51,,,213,936,"4,721","4,721","8,102","8,102","13,847",,970,"2,860",615,267
,Hardwood,Hardwood,Hardwood,,"40,223",,"1,424",,,369,129,"2,700","2,700","3,952","3,952","3,540","6,785","6,785","8,337","5,295","7,692"
,,Total,,,"72,805",,"1,475",,,582,"1,065","7,421","7,421","12,054","12,054","17,387","7,755","7,755","11,197","5,910","7,959"
,aClassifications,aClassifications,aClassifications,before,timber,removals.,removals.,,,,,,,,,,,,,,
