Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”,Name: “Table 1 of 1 on page 21 of 68”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Stocking,Stocking,Stocking,Standard,Standard,,,,,
,,,,,,,,,Minimum,Minimum,number,number,of,Minimum,Minimum,basal,area,area,
,,,,D.b.h.,D.b.h.,D.b.h.,D.b.h.,,,,,,,,,,,,
,,,,,,,,,trees,trees,per,acre,,,per,acre,,,
,,,,,class,class,class,,,,,,,,,,,,
,,,,,,,,,for,full,stocking,stocking,stocking,for,full,stocking,stocking,stocking,
,,,,Seedlings,Seedlings,Seedlings,Seedlings,,,,600,,,,,,,,
,,,,,,2,2,,,,560,,,,,_-,,,
,,,,,,4,4,,,,460,,,,,_-,,,
,,,,,,6,6,,,,340,,,,,67,,,
,,,,,,8,8,,,,240,,,,,84,,,
,,,,,,10,10,,,,155,,,,,85,,,
,,,,,,12,12,,,,115,,,,,90,,,
,,,,,,14,14,,,,90,,,,,96,,,
,,,,,,16,16,,,,72,,,,,101,,,
,,,,,,18,18,,,,60,,,,,106,,,
,,,,,,20,20,,,,51,,,,,111,,,
Conversion,Conversion,Conversion,Conversion,factors,factors,factors,factors,,,,,,,,,,,,
,,,,,,,,Cubic,feet,of,wood,wood,per,average,cord,cord,,,
,,,,,,,,,,(excluding,(excluding,(excluding,bark),bark),,,,,
,,,,,,D.b.h.,D.b.h.,,All,All,,,,Other,,,,,
,,,,,,,,,,,Pine,Pine,,,,Hardwood,Hardwood,Hardwood,
,,,,,,class,class,,species,species,,,,softwood,,,,,
,,,,,,,6,,60.7,60.7,61.0,61.0,,68.2,,,60.0,,
,,,,,,,8,,68.5,68.5,68.1,68.1,,76.0,,,68.4,,
,,,,,,10,10,,73.4,73.4,73.1,73.1,,81.4,,,73.4,,
,,,,,,12,12,,76.6,76.6,76.7,76.7,,85.2,,,76.4,,
,,,,,,14,14,,78.6,78.6,79.4,79.4,,88.2,,,78.4,,
,,,,,,16,16,,80.0,80.0,81.6,81.6,,90.4,,,79.8,,
,,,,,,18,18,,81.0,81.0,83.3,83.3,,92.3,,,80.8,,
,,,,,,20,20,,81.9,81.9,84.8,84.8,,93.8,,,81.5,,
,,,,,,22,22,,82.5,82.5,86.0,86.0,,95.1,,,82.1,,
,,,,,,24+,24+,,83.4,83.4,87.0,87.0,,97.2,,,83.0,,
,,,,Average,Average,Average,Average,,75.3,75.3,70.2,70.2,,82.7,,,76.2,,
,,,,Metric,Metric,Metric,Metric,equivalents,equivalents,equivalents,of,units,units,used,in,this,report,report,
1,acre,=,,"4,046.86","4,046.86","4,046.86","4,046.86",square,meters,meters,or,0.404686,0.404686,0.404686,hectare,,,,
1,cubic,,foot,foot,=,0.028317,0.028317,0.028317,cubic,cubic,meter,meter,,,,,,,
1,inch,=,,2.54,,centimeters,centimeters,centimeters,,or,0.0254,0.0254,meter,,,,,,
Breast,Breast,height,height,height,,(4.5,(4.5,feet),=,1.4,meters,meters,above,above,ground,level,,,
1,square,square,square,foot,,=,929.03,929.03,square,square,centimeters,centimeters,centimeters,or,0.0929,square,square,meter,
1,square,square,square,foot,,per,per,acre,basal,basal,area,=,0.229568,0.229568,square,meter,meter,per,hectare
1,pound,,=,0.454,0.454,0.454,kilogram,kilogram,,,,,,,,,,,
1,ton,=,0.907,0.907,,metric,metric,ton,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,13
