Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”,Name: “Table 1 of 1 on page 61 of 68”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,,,,,,,,,,,,,,,,
Table,47--Volume*,47--Volume*,of,"sawtimber,","sawtimber,",grcwing,grcwing,"stock,",and,live,timber,on,"timberland,","timberland,",by,species,"group,",survey,completion,"date,",and,diameter,"class,",
Northern,Northern,Piedmont,of,Virginia,Virginia,,,,,,,,,,,,,,,,,,,
,Species,,,,,,,,,,,Diam e te r class (inches,Diam e te r class (inches,Diam e te r class (inches,Diam e te r class (inches,at,breast,height),,,,,,
,group,,All,,,,,,,,,,,,,,,,,,,,,
,and,,classes,classes,,5.0-,5.0-,7.0-,7.0-,,9.0-,,11.0-,11.0-,,13.0-,,15.0-,17.0-,17.0-,19.0-,19.0-,21.0,and
,year,,,,,6.9,,a.9,,,10.9,,12.9,12.9,,14.9,,16.9,la.9,,20.9,20.9,larger,larger
,,,,,,,,,,,SAWTIMBER,SAWTIMBER,(in,thousand,thousand,board,feet),,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"i,a20,321","i,a20,321",,,-_,,--,,"720,092",,"547,753","547,753",,"283,338",,"115,774","78,142","78,142","40,166","40,166","35,056","35,056"
,1986,,"2,016,OOO","2,016,OOO",,,--,,--,,"768,832",,"618,271","618,271",,"282,824",,"164,297","79,066","79,066","37,829","37,829","64,881","64,881"
,1992,,"2,192,117","2,192,117",,,_-,,_-,,"713,704",,"689,340","689,340",,"358,753",,"152,338","86,163","86,163","74,727","74,727","117,092","117,092"
Bardwood,Bardwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"8,875,182","8,875,182",,,--,,,,--,,"1,546,764","1,546,764",,"i,a41,128",,"1,717,169","1,305,925","1,305,925","876,520","876,520","1,587,676","1,587,676"
,1986,,"10,594,718","10,594,718",,,--,,--,,-_,,"1,571,328","1,571,328",,"2,047,396",,"2,063,696","1,628,159","1,628,159","1,144,398","1,144,398","2,139,741","2,139,741"
,1992,,"12,422,OOl","12,422,OOl",,,--,,,,__,,"1,689,461","1,689,461",,"2,028,758",,"2,388,907","1,896,264","1,896,264","1,524,277","1,524,277","2,894,334","2,894,334"
,,,,,,,,,,,GROWING,,STOCK,(in,thousand,cubic,feet),,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"821,730","821,730",,"158,298","158,298","238,691","238,691",,"195,002",,"124,437","124,437",,"57,854",,"21,727","13,519","13,519",,"6,732","5,470","5,470"
,1986,,"877,081","877,081",,"167,371","167,371","242,337","242,337",,"208,177",,"140,473","140,473",,"57,744",,"30,835","13,679","13,679",,"6,341","10,124","10,124"
,1992,,"930,451","930,451",,"192,289","192,289","232,594","232,594",,"197,544",,"158,429","158,429",,"74,256",,"28,817","15,421","15,421","12,650","12,650","18,451","18,451"
Eardwood,Eardwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"3,020,208","3,020,208",,"231,804","231,804","336,049","336,049",,"431,788",,"453,683","453,683",,"456,038",,"382,261","268,153","268,153","172,441","172,441","287,991","287,991"
,1986,,"3,339,442","3,339,442",,"208,945","208,945","328,629","328,629",,"426,961",,"460,827","460,827",,"507,171",,"459,371","334,303","334,303","225,126","225,126","388,109","388,109"
,1992,,"3,661,880","3,661,880",,"192,974","192,974","291,754","291,754",,"443,293",,"492,446","492,446",,"502,448",,"531,646","389,713","389,713","297,063","297,063","520,543","520,543"
,,,,,,,,,,,LIVE,,TIMBERb,( i n,th ou s a n d,cu b i c fe e t),cu b i c fe e t),,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"845,216","845,216",,"166,122","166,122","245,185","245,185",,"198,810",,"126,204","126,204",,"60,080",,"21,727","13,519","13,519",,"7,441","6,128","6,128"
,",I986",,"901,943","901,943",,"175,843","175,843","248,733","248,733",,"212,215",,"142,406","142,406",,"59,954",,"30,835","13,679","13,679",,"6,988","11,290","11,290"
,1992,,"945,158","945,158",,"194,830","194,830","237,492","237,492",,"200,277",,"161,914","161,914",,"74,256",,"28,817","15,421","15,421","12,650","12,650","19,501","19,501"
Bardwood,Bardwood,,,,,,,,,,,,,,,,,,,,,,,
,1976,,"3,375,341","3,375,341",,"309,835","309,835","407,830","407,830",,"488,475",,"504,035","504,035",,"479,766",,"402,211)","278,731","278,731","182,078","182,078","322,373","322,373"
,1986,,"3,709,882","3,709,882",,"279,266","279,266","399,228","399,228",,"482,944",,"511,903","511,903",,"533,597",,"483,385","347,422","347,422","237,720","237,720","434,417","434,417"
,1992,,"3,999,517","3,999,517",,"247,893","247,893","350,420","350,420",,"501,665",,"537,979","537,979",,"535,944",,"547,178","406,590","406,590","305,078","305,078","566,770","566,770"
,To provide,a,basis,for,valid,"comparisons,","comparisons,",adjustments,adjustments,have,been,made,,,,,,,,,,,,
to,allow,for,differences,differences,in,volume,tables,and,sawtimber,sawtimber,specifications,specifications,,,,,,,,,,,,
used,in,previous,surveys.,surveys.,,,,,,,,,,,,,,,,,,,,
b,,,,,,,,,,,,,,,,,,,,,,,,
,Merchantable,Merchantable,volume.,,,,,,,,,,,,,,,,,,,,,
