Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”,Name: “Table 1 of 1 on page 31 of 68”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,
Unit,Tables,,,,,,,,,,,,
Table,lo--Area,lo--Area,of,"timberland,","timberland,",by,forest,type,and,ownership,"class,",,
Northern,,Piedmont,Piedmont,of,"Virginia,",1992,,,,,,,
,,,,,,,,,,,Ownership,class,
,,,,,All,,,,,,,,
,Forest,type,type,,,,,,,,,Forest,
,,,,,ownerships,ownerships,National,National,Other,Other,Forest,,Other
,,,,,,,,,,,,industry-,
,,,,,,,forest,forest,public,public,industry,,private
,,,,,,,,,,,,leased,
,,,,,,,,,,,Acres,,
Softwood,,types,types,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,pine-hemlock,"13,793","13,793","3,599","3,599",,--,--,--,"10,194"
Spruce-fir,Spruce-fir,,,,,--,,--,,--,--,--,--
Longleaf,Longleaf,pine,pine,,,--,,--,,--,--,--,--
Slash,pine,,,,,__,,-_,,_-,_-,-_,-_
Loblolly,Loblolly,pine,pine,,"173,438","173,438",,--,,--,"98,110",--,"75,328"
Shortleaf,Shortleaf,pine,pine,,"12,495","12,495",,--,,--,--,--,"12,495"
Virginia,Virginia,pine,pine,,"210,600","210,600",,--,"24,393","24,393","9,197",--,"177,010"
Sand,pine,,,,,--,,--,,--,--,--,--
Eastern,Eastern,redcedar,redcedar,redcedar,"35,436","35,436",,--,,--,--,--,"35,436"
Pond,pine,,,,,--,,--,,--,--,--,--
Spruce,,pine,,,,--,,--,,--,--,--,--
Pitch,pine,,,,"4,052","4,052",,--,,--,--,--,"4,052"
Table,Mountain,Mountain,Mountain,pine,,--,,--,,--,--,--,--
,Total,,,,"449,814","449,814","3,599","3,599","24,393","24,393","107,307",--,"314,515"
Hardwood,,types,types,,,,,,,,,,
Oak-pine,Oak-pine,,,,"289,160","289,160","7,198","7,198","4,986","4,986","9,011",--,"267,965"
Oak-hickory,Oak-hickory,Oak-hickory,,,"1,461,255","1,461,255","44,302","44,302","51,854","51,854","35,802",--,"1,329,297"
Chestnut,Chestnut,oak,oak,,"142,096","142,096","17,997","17,997","2,813","2,813","3,110",--,"118,176"
Southern,Southern,scrub,scrub,oak,,--,,--,,--,--,--,--
Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,Oak-gum-cypress,,"35,505","35,505",,--,,--,--,--,"35,505"
Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,Elm-ash-cottonwood,"48,721","48,721",,--,"9,967","9,967",^_,--,"38,754"
Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,Maple-beech-birch,,-^,,--,,--,--,--,--
,Total,,,,"1,976,737","1,976,737","69,497","69,497","69,620","69,620","47,923",--,"1,789,697"
All,types,,,,"2,426,551","2,426,551","73,096","73,096","94,013","94,013","155,230",--,"2,104,212"
,,,,,,,,,,,,,23
