Year,Acres of Forestland
1630,"24,480,000"
1907,"14,000,000"
1940,"14,832,300"
1957,"16,113,500"
1966,"16,354,000"
1977,"16,417,000"
1986,"16,102,000"
1992,"16,027,000"
2001,"15,844,000"
