Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,,,,,
Table,3--Area,3--Area,of,"timberland,","timberland,",by,county,and,forest-type,"group,","Virginia,",1992,,,,,
,,,,,,,,,,,,Forest-type,group,,,,
,,,,All,type,,,,,,,,,,,,
,County,County,,,,,,,,,,,,,,,
,,,,groups,groups,,White,pine-,Spruce-,Longleaf-,Longleaf-,Loblolly-,Oak-,Oak-,Oak-gum-,Elm-ash-,Maple-beech-
,,,,,,,hemlock,hemlock,fir,slash,slash,shortleaf,pine,hickory,cypress,cottonwood,birch
,,,,,,,,,,,,Acres,,,,,
Accomack,Accomack,,,"94,507","94,507",,,--,--,,--,"45,037","24,617","16,134","8,719",--,--
Albemarle,Albemarle,Albemarle,,"278,205","278,205",,,--,--,,--,"44,238","37,864","192,316","3,787",--,--
Alleghany,Alleghany,Alleghany,,"249,199","249,199",,"4 ,846","4 ,846",--,,--,"17,049","40,435","178,021",--,---,"8,848"
Amelia,Amelia,,,"169,355","169,355",,,--,--,,--,"74,384","17,146","70,235","7,590",--,
Amherst,Amherst,,,"224,549","224,549",,"13 ,793","13 ,793",--,,--,"22,146","38,462","150,148",--,--,--
Appomattox,Appomattox,Appomattox,,"151,559","151,559",,,--,--,,--,"46,668","14,793","90,098",--,--,--
Arlington,Arlington,Arlington,,,--,,,,--,,--,--,--,--,--,--,--
Augusta,Augusta,,,"291,118","291,118",,,,--,,--,"14,504","46,375","230,239",--,--,--
Bath,,,,"287,742","287,742",,"7 ,782","7 ,782",--,,--,"12,263","49,642","218,055",--,--,--
Bedford,Bedford,,,"276,133","276,133",,,--,--,,--,"56,199","14,132","205,802",--,--,--
Bland,,,,"173,503","173,503",,"6 ,038","6 ,038",--,,--,"4,108","28,258","135,099",--,--,--
Botetourt,Botetourt,Botetourt,,"250,882","250,882",,"8 ,911","8 ,911",--,,--,"26,736","27,593","183,204",--,"4,438",--
