Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”,Name: “Table 1 of 1 on page 72 of 74”
Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72,Table: 72
,,,,,,,,,,,,,,,,,,,,,,,,
Table,47--Volume a,47--Volume a,of,"sawtimber,","sawtimber,",growing,growing,"stock,",and,live,timber,on,"timberland,","timberland,",by,species,"group,",survey,completion,"date,",and,diameter,"class,",
Virginia,Virginia,,,,,,,,,,,,,,,,,,,,,,,
,Species,,,,,,,,,,,,Diameter,class,(inches,at,breast,height),,,,,,
,group,,Al1,Al1,,,,,,,,,,,,,,,,,,,,
,and,,classes,classes,,5.0-,,,7.0-,,9.0-,,,11.0-,,13.0-,,15.0-,17.0-,,19.0-,19.0-,21.0,and
,year,,,,,6.9,,8.9,8.9,,10.9,,,12.9,,14.9,,16.9,18.9,,20.9,20.9,larger,larger
,,,,,,,,,,,,SAWTIMBER,SAWTIMBER,(in,thousand,board,feet),,,,,,,
Softwood,Softwood,,,,,,,,,,,,,,,,,,,,,,,
