Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”,Name: “Table 1 of 1 on page 35 of 76”
Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33,Table: 33
,,,,,,,,,,,,
T a b l e,+-Area,o f,"t i m b e r l a n d ,",b y,c o u n t y,a n d,s i t e,"c l a s s ,","V i r g i n i a ,",1992--Continued,1992--Continued,
,,,All,,Site,class,(cubic,feet,per,acre,per,year)
,County,,,,,,,,,,,
,,,clas se8,,,,,,,,,
,,,,7164,,120-164,,85-119,,50-84,,20-49
,,,,,,,Acres,,,,,
Lancaster,Lancaster,,"52,501",,__,"4,435",,"8,869",,"38,736","38,736",461
Lee,,,"150,024",,__,-_,,"27,438",,"113,441","113,441","9,145"
Loudoun,,,"117,248",,-_,__,,"25,329",,"85,926","85,926","5,993"
Louisa,,,"228,537",,__,__,,"27,316",,"180,516","180,516","20,705"
Lunenburg,Lunenburg,,"209,807",,__,"3,193",,"31,146",,"169,082","169,082","6,386"
Madison,,,"88,259",,--,"8,022",,"26,565",,"40,659","40,659","13,013"
Mathews,,,"34,787",,_-,__,,"14,636",,"17,386","17,386","2,765"
Mecklenburg,Mecklenburg,,"263,242",,_-,-_,,"36,218",,"204,850","204,850","22,174"
Middlesex,Middlesex,,"49,882",,_-,- -,,"21,034",,"28,813","28,813",35
Montgomery,Montgomery,,"145,281",,_a,"10,809",,"18,684",,"91,459","91,459","24,329"
Nelson,,,"231,868","4,051","4,051","4,051",,"91,670",,"115,779","115,779","16,317"
New Kent,,,"98,183",,__,-_,,"24,464",,"73,509","73,509",210
Newport,News,,"7,934",,__,-_,,"5,078",,"2,856","2,856",- -
Northampton,Northampton,,"30,351",,__,150,,"7,571",,"17,629","17,629","5,001"
Northumberland,Northumberland,,"67,886",,- -,__,,"22,560",,"39,725","39,725","5,601"
Nottoway,,,"137,331",,- -,421,,"33,706",,"90,555","90,555","12,649"
Orange,,,"125,448",,__,- -,,"24,655",,"97,251","97,251","3,542"
Page,,,"81,722",,- -,-_,,"3,390",,"43,241","43,241","35,091"
Patrick,,,"212,148","3,714","3,714","6,381",,"50,854",,"118,276","118,276","32,923"
Pit,tsylvania,,"405,446","7,550","7,550","40,213",,"121,667",,"215,369","215,369","20,647"
Powhatan,,,"132,471",,_-,_-,,"49,232",,"78,358","78,358","4,881"
Prince,Edward,,"165,647",,- -,-_,,"34,719",,"118,857","118,857","12,071"
Prince,George,,"117,291",,- -,"2,550",,"23,278",,"81,261","81,261","10,202"
Prince,William,,"94,125",,_-,"4,019",,"7,989",,"70,061","70,061","12,056"
Pulaski,,,"118,624",,- -,__,,"7,334",,"78,091","78,091","33,199"
Rappahannock,Rappahannock,,"71,760",,- -,"3,410",,"6,820",,"47,890","47,890","13,640"
Richmond,,,"76,279","2,885","2,885",- -,,"21,927",,"51,467","51,467",- -
Roanoke,,,"107,085","4,920","4,920","4,920",,"6,812",,"58,950","58,950","31,483"
Rockbridge,Rockbridge,,"241,345","4,548","4,548",_-,,"41,053",,"136,391","136,391","59,353"
Rockingham,Rockingham,,"253,579",,__,"4,157",,"18,369",,"91,057","91,057","139,996"
Russell,,,"174,359",,- -,- -,,"19,225",,"121,335","121,335","33,799"
Scott,,,"235,375",,510,"15,955",,"71,968",,"141,623","141,623","5,319"
Shenandoah,Shenandoah,,"184,362",,- -,"4,487",,"8,440",,"94,884","94,884","76,551"
Smyth,,,"172,279",,528,__,,"33,414",,"114,277","114,277","24,060"
Southampton,Southampton,,"240,492","2,759","2,759","5,519",,"93,807",,"132,888","132,888","5,519"
Spotsylvania,Spotsylvania,,"169,148","8,380","8,380","4,189",,"39,821",,"109,416","109,416","7,342"
Stafford,,,"118,956","8,777","8,777","13,139",,"42,877",,"50,878","50,878","3,285"
Suffolk,,,"111,147",,- -,"4,318",,"24,211",,"80,459","80,459","2,159"
Surry,,,"122,880",,- -,- -,,"21,910",,"100,970","100,970",_-
Sussex,,,"250,649",,- -,"8,188",,"73,384",,"152,724","152,724","16,353"
Tazewell,,,"207,871",,- -,"11,326",,"56,629",,"121,332","121,332","18,584"
Virginia,Beach,,"36,581",,- -,__,,"5,383",,"16,801","16,801","14,397"
Warren,,,"64,311",,- -,__,,"9,324",,"45,378","45,378","9,609"
Washington,Washington,,"189,398",,- -,"10,352",,"51,760",,"113,765","113,765","13,521"
Westmoreland,Westmoreland,,"74,248",,- -,"2,554",,"26,430",,"40,156","40,156","5,108"
Wise,,,"178,114",,- -,__,,"36,401",,"141,563","141,563",150
Wythe,,,"140,921","6,994","6,994","4,517",,"4,313",,"79,883","79,883","45,214"
York,,,"28,849",,- -,__,,"16,154",,"11,282","11,282","1,413"
Total,,,"15,447,550","144,645","144,645","4 1 9 , 2 7 2","4 1 9 , 2 7 2","3,297,378","9,542,524","9,542,524","9,542,524","2,043,731"
,,,,,,,,,,,,27
