Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”,Name: “Table 1 of 1 on page 47 of 76”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,,,,,,,,,,,,
Table,Table,15--Area,of,"timberland,","timberland,",by,stand-age,stand-age,and,broad,management,management,"classes,",,
forest,forest,"industry,a","industry,a","Virginia,","Virginia,",1992,,,,,,,,,
,,,,,,,,,,Broad,management,management,class,,
,Stand-age,Stand-age,class,,All,,,,,,,,,,
,,(years),,,classes,,Pine,,Natural,Natural,,,Upland,,Lowland
,,,,,,,,,,,Oak-pine,Oak-pine,,,
,,,,,,,plantation,plantation,,pine,,,hardwood,hardwood,
,,,,,,,,,,,Acres,,,,
,,O-10,,,"375,867","375,867","234,340","234,340",,"7,101",,"76,059","53,691",,"4,676"
,,11-20,,,"309,417","309,417","216,917","216,917",,"26,453",,"19,265","30,230",,"16,552"
,,21-30,,,"249,672","249,672","176,341","176,341",,"30,772",,"21,311","18,951",,"2,297"
,,31-40,,,"99,099","99,099","48,068","48,068",,"24,346",,"11,696","14,989",,--
,,41-50,,,"84,757","84,757",,_-,,"27,658",,"11,978","38,014",,"7,107"
,,51-60,,,"78,688","78,688",,_-,,"15,525",,"23,346","31,115",,"8,702"
,,61-70,,,"106,844","106,844",,_-,,"6,683",,"14,529","80,628",,"5,004"
,,71-80,,,"43,560","43,560",,_-,,"7,705",,"10,418","23,245",,"2,192"
,,81+,,,"94,687","94,687",,--,,"8,977",,"12,059","58,069",,"15,582"
No,manageable,manageable,stand,,"112,172","112,172",,_-,,"9,307",,"15,048","77,047",,"10,770"
,All,classes,,,"1,554,763","1,554,763","675,666","675,666","164,527","164,527",,"215,709","425,979",,"72,882"
aIncludes,aIncludes,"17,366","17,366",acres,of,other,private,land,under,under,long-term,lease.,lease.,,
Table,Table,16--Area,of,"timberland,","timberland,",by,stand-age,stand-age,and,broad,management,management,"classes,",,
other,other,private,"ownerships,a","ownerships,a","ownerships,a","Virginia,",1992,1992,,,,,,,
,,,,,,,,,,Broad,management,management,class,,
,Stand-age,Stand-age,class,,All,,,,,,,,,,
,,(years),,,classes,,Pine,,Natural,Natural,,,Upland,,Lowland
,,,,,,,,,,,Oak-pine,Oak-pine,,,
,,,,,,,plantation,plantation,,pine,,,hardwood,hardwood,
,,,,,,,,,,,Acres,,,,
,,O-10,,"1,241,894","1,241,894","1,241,894","278,008","278,008",,"105,348",,"276,297","559,746",,"22,495"
,,11-20,,"1,061,235","1,061,235",,"238,784","238,784",,"174,247",,"194,349","414,255",,"39,600"
,,21-30,,,"854,335","854,335","164,888","164,888",,"237,017",,"116,251","324,825",,"11,354"
,,31-40,,,"909,319","909,319","67,288","67,288",,"228,455",,"100,025","488,579",,"24,972"
,,41-50,,"1,158,678","1,158,678","1,158,678","8,150","8,150",,"258,816",,"112,204","744,879",,"34,629"
,,51-60,,"1,661,133","1,661,133","1,661,133",,_-,,"217,097",,"187,721","1,202,822",,"53,493"
,,61-70,,"1,422,697","1,422,697",,,__,,"114,504",,"166,996","1,086,573",,"54,624"
,,71-80,,,"952,780","952,780",,,,"34,975",,"79,576","799,643",,"38,586"
,,81+,,"1,144,053","1,144,053","1,144,053",,--,,"56,166",,"116,302","917,388",,"54,197"
No,manageable,manageable,stand,,"1,503,377",,"7,131","7,131",,"76,309",,"171,152","1,047,357",,"201,428"
All,All,classes,,"11,909,501","11,909,501",,"764,249","764,249","1,502,934","1,502,934","1,520,873","1,520,873","7,586,067",,"535,378"
aExcludes,aExcludes,"17,366",acres,acres,of,.other,private,land,under,long-term,long-term,lease,to,forest,industry.
,,,,,,,,,,,,,,,39
