Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”,Name: “Table 1 of 1 on page 36 of 76”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,
Table,6--Area,6--Area,of,"timberland,",by,county,and,stocking,class,of,growing-etock,growing-etock
"treee,",,"Virginia,","Virginia,",1992,,,,,,,,
,,,,,,,S t o c k i n g,S t o c k i n g,c l a s s,(percentja,(percentja,
,,,,classes,>130,>130,100-130,100-130,60-99,16.7-59,16.7-59,~16.7
,,,,,,,,Acres,,,,
Accomack,Accomack,,,"94,507","13,445","13,445","46,730","46,730","26,265",,"8,067",_-
Albemarle,Albemarle,Albemarle,,"278,205","8,885","8,885","81,639","81,639","132,521",,"47,587","7,573"
Al,leghany,leghany,,"249,199",,__,"54,551","54,551","158,842",,"32,449","3,357"
Amel ia,,,,"169,355","12,474","12,474","73,295","73,295","66,440",,"9,556","7,590"
Amherst,Amherst,,,"224,549","4,081","4,081","77,438","77,438","97,237",,"31,518","14,275"
Appomat tox,Appomat tox,Appomat tox,,"151,559","4,191","4,191","62,098","62,098","69,271",,"15,999",_-
Arlington,Arlington,Arlington,,- -,,_-,,--,--,,- -,- -
Augusta,Augusta,,,"291,118","3,626","3,626","59,896","59,896","133,640",,"78,949","15,007"
Bath,,,,"287,742","8,372","8,372","63,325","63,325","179,754",,"36,291",__
Bedford,Bedford,,,"276,133","16,180","16,180","81,241","81,241","142,525",,"36,187",__
Bland,,,,"173,503","6,038","6,038","28,507","28,507","112,571",,"26,387",_-
Botetourt,Botetourt,Botetourt,,"250,882","8,911","8,911","63,742","63,742","120,954",,"57,275",- -
Brunswick,Brunswick,Brunswick,,"290,950","38,802","38,802","143,521","143,521","81,344",,"24,664","2,619"
Buchanan,Buchanan,,,"290,585","9,893","9,893","92,484","92,484","128,648",,"54,614","4,946"
Buckingham,Buckingham,Buckingham,,"300,672","15,792","15,792","131,230","131,230","136,656",,"13,196","3,798"
Campbell,Campbell,,,"205,236","16,856","16,856","70,080","70,080","95,321",,"22,979",-_
Caroline,Caroline,,,"261,702","13,831","13,831","106,885","106,885","122,852",,"15,494","2,640"
Carroll,Carroll,,,"182,605","4,837","4,837","32,972","32,972","81,908",,"48,376","14,512"
Charles,Charles,City,,"84,737","8,050","8,050","47,525","47,525","24,034",,_-,"5,128"
Charlotte,Charlotte,Charlotte,,"209,194","16,091","16,091","93,078","93,078","89,139",,"10,886",__
Chesapeake,Chesapeake,Chesapeake,,"59,974",767,767,"33,301","33,301","21,318",,"4,588",__
Chesterfield,Chesterfield,Chesterfield,,"187,487","2,635","2,635","99,763","99,763","79,125",,"5,964",_-
Clarke,,,,"37,876",,-_,"14,183","14,183","18,796",,"4,897",- -
Craig,,,,"162,684","24,139","24,139","43,300","43,300","71,369",,"23,876",__
Culpeper,Culpeper,,,"114,304","3,122","3,122","35,659","35,659","65,842",,"9,681",_-
Cumberland,Cumberland,Cumberland,,"131,624","12,206","12,206","64,616","64,616","42,598",,"8,136","4,068"
Dickenson,Dickenson,Dickenson,,"171,650",,__,"27,316","27,316","75,352",,"64,497","4,485"
Dinwiddie,Dinwiddie,Dinwiddie,,"244,049","8,013","8,013","128,169","128,169","88,866",,"19,001",_-
Essex,,,,"98,013","11,692","11,692","40,995","40,995","33,634",,"11,692",-_
Fairfax,Fairfax,,,"68,538","2,813","2,813","28,286","28,286","30,861",,"6,578",_-
Fauquier,Fauquier,,,"174,154","3,626","3,626","56,547","56,547","70,475",,"39,881","3,625"
Floyd,,,,"141,181","8,971","8,971","25,402","25,402","81,337",,"25,471",- -
F luvanna,F luvanna,,,"137,348","8,761","8,761","52,938","52,938","62,974",,"12,675",- -
Franklin,Franklin,,,"279,964","22,053","22,053","102,657","102,657","108,926",,"46,328",- -
Frederick,Frederick,Frederick,,"128,921","4,001","4,001","20,381","20,381","76,307",,"28,232",- -
Giles,,,,"167,121","4,930","4,930","57,321","57,321","89,719",,"10,221","4,930"
Gloucester,Gloucester,Gloucester,,"94,613","12,704","12,704","45,994","45,994","28,295",,"7,620",__
Goochland,Goochland,Goochland,,"130,505","6,898","6,898","55,172","55,172","64,976",,"3,459",__
Grayson,Grayson,,,"164,742","9,828","9,828","34,921","34,921","85,274",,"34,719",- -
Greene,,,,"53,599","3,713","3,713","27,608","27,608","18,565",,"3,713",__
Greensville,Greensville,Greensville,,"135,286","7,035","7,035","51,417","51,417","44,321",,"23,294","9,219"
Halifax,Halifax,,,"351,662","16,116","16,116","141,411","141,411","142,452",,"44,300","7,383"
Hampton,Hampton,,,"4,342",,50,"4,248","4,248",44,,_-,_-
Hanover,Hanover,,,"178,181","16,112","16,112","74,088","74,088","78,223",,"5,770","3,988"
Henrico,Henrico,,,"59,429",,_-,"31,448","31,448","25,171",,"2,810",- -
Henry,,,,"176,780","15,882","15,882","63,642","63,642","70,290",,"22,995","3,971"
Highland,Highland,,,"196,003","17,860","17,860","80,894","80,894","79,275",,"13,462","4,512"
Isle,of,Wight,,"114,161","7,608","7,608","56,862","56,862","40,884",,"8,807",__
James,,City,,"60,221","14,571","14,571","10,787","10,787","28,156",,"6,707",- -
King,and,Queen,Queen,"152,722","20,739","20,739","68,432","68,432","45,579",,"17,972",__
King,George,George,,"70,130","2,905","2,905","22,170","22,170","37,267",,"7,788",_-
King,William,William,,"111,822","15,401","15,401","43,909","43,909","31,823",,"15,403","5,286"
,,,,,,,,,,,,Continued
28,,,,,,,,,,,,
