Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”,Name: “Table 1 of 1 on page 43 of 76”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,,,,,,,,,,,,,
Table,9--Average,annual,removal8,of,growing,stock,and,sawtimber,on,"timberland,",by,county,and,species,"group,","Virginia,","Virginia,",1986-1991--Continued,
,,,,,,Growing,Growing,stock,,,,,,,,Sawtimber,Sawtimber,,
,county,,All,,,Other,Other,Soft,,Hard,,All,All,,,Other,Other,Soft,Hard
,,species,species,,Pine,softwood,softwood,hardwood,hardwood,hardwood,,species,species,Pine,Pine,softwood,softwood,hardwood,hardwood
,,,,,Thousand,cubic,cubic,feet,,,,,,,,Thousand,board,feet,
Lancaster,Lancaster,,"2,917",,"1,922",,__,513,513,482,,"4,403","4,403","2,278","2,278",,__,"1,273",852
Lee,,,"3,111",,__,,-_,"2,212","2,212",899,,"9,873","9,873",,__,,-_,"7,878","1,995"
Loudoun,,,"1,870",,619,,-_,435,435,816,,"3,808","3,808","1,195","1,195",,-_,"1,135","1,478"
