Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”,Name: “Table 1 of 1 on page 31 of 76”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,,,,,,,
"Table 3--Area of timberland,","Table 3--Area of timberland,","Table 3--Area of timberland,","Table 3--Area of timberland,",by,county,and,forest-type,"group,","Virginia,",1992--Continued,,,,,
,,,,,,,,,,Forest-type,group,,,,
,,,All,type,,,,,,,,,,,
,county,county,,,,,,,,,,,,,
,,,PrOUDS,PrOUDS,White,uine-,Spruce-,Lonnleaf-,Lonnleaf-,Loblolly-,Oak-,Oak-,Oak-gum-,Elm-ash-,Maple-beech-
,,,,,hemlbck,hemlbck,fir,siash,siash,shortleaf,pine,hickory,cypress,cottonwood,birch
,,,,,,,,,,Acres,,,,,
Lancaster,Lancaster,Lancaster,"52,501","52,501",,__,__,,_-,"13,999","7,000","31,041",461,,--
Lee,,,"150,024","150,024",,_-,__,,_-,"9,145",__,"40,879",__,--,__
Loudoun,,,"117,248","117,248",,__,__,,--,"16,832","5,993","90,216",-_,"4,207",__
Louisa,,,"228,537","228,537",,_-,_-,,--,"49,066","16,558","57,972",__,"4,941",--
Lunenburg,Lunenburg,Lunenburg,"209,807","209,807",,__,--,,--,"101,612","10,781","80,246","10,780","6,388",_-
Madison,Madison,,"88,259","88,259",,-_,__,,__,"8,368","16,246","63,645",_-,__,--
Mathews,,,"34,787","34,787",,_-,_-,,__,"20,947","5,545","5,530","2,765",_-,__
Mecklenburg,Mecklenburg,Mecklenburg,"263,242","263,242",,--,_-,,-_,"66,038","29,572","63,197",__,"4,435",__
Middlesex,Middlesex,Middlesex,"49,882","49,882",,--,--,,--,"13,788","18,030","18,029",35,- -,__
Montgomery,Montgomery,Montgomery,"145,281","145,281","10,809","10,809",__,,_-,"25,730","7,533","00,409",- -,800,--
Nelson,,,"231,868","231,868",,_-,__,,__,"31,895","12,153","83,769",__,"4,051",_-
New,Kent,,"98,183","98,183",,_-,_-,,_-,"31,040","20,290","42,045","4,808",__,__
Newport,,News,,"7,934",,_-,_-,,_-,"2,228","1,117","4,589",_-,__,_-
Northampton,Northampton,Northampton,"30,351","30,351",,_-,_-,,_-,"12,502","7,712","7,626",511,__,
Northumberland,Northumberland,Northumberland,"67,886","67,886",,__,_-,,_-,"15,467","5,391","41,428",600,__,
Nottoway,Nottoway,,"137,331","137,331",,_-,__,,_-,"54,813","24,477","45,393",432,"4,216",--
Orange,,,"125,448","125,448",,-_,--,,--,"25,961","21,134","71,309",__,"7,044",_-
Page,,,"81,722","81,722",,- -,--,,__,"10,170","3,390","68,162",- -,- -,
Patrick,,,"212,148","212,148",,974,_-,,__,"16,450","20,191","170,818",__,"3,715",__
Pittsylvania,Pittsylvania,Pittsylvania,"405,446","405,446",,__,__,,__,"96,610","45,303","244,655",775,"15,103",
Powhatan,Powhatan,,"132,471","132,471",,_-,_-,,-_,"26,770","9,935","88,118",648,-_,__
Prince,Edward,Edward,"165,647","165,647",,_-,_-,,_-,"53,990","41,275","57,837",4:024,"8,521",
Prince,George,George,"117,291","117,291",,-_,-_,,-_,"47,649","17,852","44,139","5,101","2,550",
Prince,William,William,"94,125","94,125",,-_,_-,,__,"19,244","4,019","66,843","4,019",__,
Pulaski,,,"118,624","118,624",,,_-,,--,"5,920","12,898","98,402",__,"1,404",
Rappahannock,Rappahannock,Rappahannock,"71,760","71,760",,- -,--,,__,150,"6,820","64,790",--,,
Richmond,Richmond,,"76,279","76,279",,__,__,,^_,"23,112","2,885","44,512","2,005","2,005",
Roanoke,,,"107,085","107,085",,_-,_-,,__,"19,681","25,603","61,801",__,__,__
Rockbridge,Rockbridge,Rockbridge,"241,345","241,345",,-_,__,,--,"18,222","36,531","177,466",__,"4,563","4,563"
Rockingham,Rockingham,Rockingham,"253,579","253,579",,"4,157",__,,--,"14,212","32,002","189,576",--,"9,475","4,157"
Russell,,,"174,359","174,359",,_-,_-,,_-,"14,419",_-,"145,521",,"4,807","9,612"
Scott,,,"235,375","235,375",,-_,_-,,_-,"5,319","11,148","218,908",,__,__
Shenandoah,Shenandoah,Shenandoah,"184,362","184,362",,"8,440",-_,,-_,"4,487","22,434","144,514",__,"4,487",_-
Smyth,,,"172,279","172,279",,_-,_-,,_-,"7,177","17,235","143,190",__,-_,"4,677"
Southampton,Southampton,Southampton,"240,492","240,492",,-_,__,,_-,"107,723","34,024","43,690","47,239","7,816",- -
Spotsylvania,Spotsylvania,Spotsylvania,"169,148","169,148",,__,_-,,--,"54,554","20,947","72,701","16,757","4,189",
Stafford,Stafford,,"118,956","118,956",,_-,__,,__,"17,862","13,138","87,956",- -,_-,__
Suffolk,,,"111,147","111,147",,-_,-_,,--,"43,585","14,576","33,365","15,302","4,319",_-
Surry,,,"122,880","122,880",,__,__,,_-,"44,554","13,516","52,078","12,732",__,--
Sussex,,,"250,649","250,649",,__,__,,-_,"133,425","40,850","43,622","30,045","2,707",__
Tazewell,Tazewell,,"207,871","207,871",,__,-_,,__,-_,__,"190,882",__,__,"16,989"
